"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.18,0.18
"web asymmetry",0,0
"links per species",0.9,0.9
"number of compartments",3,3
"compartment diversity",2.35570723630467,2.35570723630467
"cluster coefficient",0.15,0.15
"nestedness",25.9044326984826,25.9463326480848
"weighted nestedness",NA,NA
"weighted NODF",6.66666666666667,6.66666666666667
"interaction strength asymmetry",0.0775793650793651,0.0775793650793651
"specialisation asymmetry",-0.0427013052741077,-0.0427013052741077
"linkage density",2.1178879496779,2.1178879496779
"weighted connectance",0.105894397483895,0.105894397483895
"Fisher alpha",11.932790000242,11.932790000242
"Shannon diversity",2.66504550627285,2.66504550627285
"interaction evenness",0.578707278697679,0.578707278697679
"Alatalo interaction evenness",0.828971542896424,0.828971542896424
"H2",0.724532251220098,0.724532251220098
"number.of.species.HL",10,10
"mean.number.of.shared.partners.HL",0.288888888888889,0.311111111111111
"cluster.coefficient.HL",0.230952380952381,0.266666666666667
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.13751575238247,0.115813514545768
"togetherness.HL",0.116666666666667,0.0984126984126984
"C.score.HL",0.756666666666667,0.72962962962963
"V.ratio.HL",1,0.865671641791045
"discrepancy.HL",10,10
"extinction.slope.HL",1.59072464332118,1.60706027719561
"robustness.HL",0.616694334615266,0.612487167634169
"functional.complementarity.HL",39.1277020538357,39.2592590894527
"partner.diversity.HL",0.568206733579612,0.699092638807922
"generality.HL",2.05675927318046,2.17901662617534
