"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Sparkling Violetear",1,0.0833333333333333,0.68,-0.32,0.583333333333333,1,1,1,0.68,2.3,0,0,0.0771144278606965,0.0300039303220639,0.232183402708369,0,1,0.137679368549324,0.268817204301075,0.758522280231595
"Violet-tailed Sylph",4,0.333333333333333,1.09883040935673,0.0247076023391813,0,0.920454545454545,0.727272727272727,0.566755786218475,0.357153996101365,1.3,0.518867924528302,0.432,0.126865671641791,0.0555490722371339,1.78478252220718,1.136916591833,3.11714211053545,0.429166157457029,0.509677419354839,0.348997442567716
"Buff-tailed Coronet",1,0.0833333333333333,0.722222222222222,-0.277777777777778,0.666666666666667,1,1,1,0.722222222222222,2.1,0,0,0.082089552238806,0.0576423281737591,0.252478235879897,0,1,0.137679368549324,0.193548387096774,0.824673290226477
"Booted Racketail",3,0.25,0.885263157894737,-0.0382456140350877,0.0833333333333333,0.961038961038961,0.818181818181818,0.705819961592061,0.267052631578947,1.5,0.433962264150943,0.368,0.111940298507463,0.0313777191825972,1.45308990103431,0.801818552543337,2.22959187392042,0.306968801324067,0.490322580645161,0.332834896423109
"Booted Racket-tail",1,0.0833333333333333,0.473684210526316,-0.526315789473684,0.75,1,1,1,0.473684210526316,1.8,0,0,0.0895522388059702,0.0491476034233531,0.287850999076694,0,1,0.137679368549324,0.204301075268817,0.660949470804565
"Gorgeted Sunangel",3,0.25,0.866666666666667,-0.0444444444444444,0.166666666666667,0.848484848484849,0.818181818181818,0.533001790889026,0.3,1.8,0.0471698113207547,0.2,0.104477611940299,0.0513706022015972,1.74344393002143,1.08219553003877,2.95115178586752,0.406312714371451,0.365591397849462,0.417714406889198
"Brown Inca",1,0.0833333333333333,1,0,0.833333333333333,1,1,1,1,NA,0,0,0,NA,0.34265736795781,0,1,0.137679368549324,0.0645161290322581,1
"Speckled Hummingbird",2,0.166666666666667,1.4,0.2,0.25,0.954545454545455,0.909090909090909,0.717740562565273,0.6,2.1,0,0,0.082089552238806,0.0383160267246237,1.0505229538638,0.636514168294813,1.88988157484231,0.260197701857292,0.129032258064516,0.7553395826779
"Tawny-bellied Hermit",2,0.166666666666667,2,0.5,0.333333333333333,0.954545454545455,0.909090909090909,0.717740562565273,1,NA,0,0,0,NA,2.62230229845195,0.636514168294813,1.88988157484231,0.260197701857292,0.032258064516129,1
"Collared Inca",2,0.166666666666667,1.16666666666667,0.0833333333333333,0.416666666666667,0.909090909090909,0.909090909090909,0.674199862463242,0.583333333333333,2,0,0,0.0895522388059702,0.0165932674095679,2941562359.8741,0.693147180559945,2,0.275358737098648,0.0752688172043011,0.70928639438389
"Purple-bibbed Whitetip",2,0.166666666666667,1.16666666666667,0.0833333333333333,0.5,0.909090909090909,0.909090909090909,0.674199862463242,0.583333333333333,2,0,0,0.0895522388059702,0.0165932674095679,2941562359.8741,0.693147180559945,2,0.275358737098648,0.0752688172043011,0.70928639438389
"Fawn-breasted Brilliant",1,0.0833333333333333,0.04,-0.96,0.916666666666667,1,1,1,0.04,2.3,0,0,0.0771144278606965,0.0127021401505044,1677720700.50048,0,1,0.137679368549324,0.268817204301075,0
"Stripe-throated Hermit",1,0.0833333333333333,0.5,-0.5,1,1,1,1,0.5,2.4,0,0,0.0696517412935323,0.0132834737958364,1677720700.50048,0,1,0.137679368549324,0.021505376344086,0.784661720963303
