"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.153846153846154,0.153846153846154
"web asymmetry",0.04,0.04
"links per species",0.96,0.96
"number of compartments",3,3
"compartment diversity",1.88703111793127,1.88703111793127
"cluster coefficient",0.166666666666667,0.166666666666667
"nestedness",27.4689634303265,27.4689634303265
"weighted nestedness",0.0354466059989372,0.0298700099884324
"weighted NODF",3.47222222222222,3.47222222222222
"interaction strength asymmetry",0.0732647769252628,0.0732647769252628
"specialisation asymmetry",-0.0945886317986909,-0.0945886317986909
"linkage density",2.00281597502257,2.00281597502257
"weighted connectance",0.0801126390009027,0.0801126390009027
"Fisher alpha",10.4812442235743,10.4812442235743
"Shannon diversity",2.7379226080915,2.7379226080915
"interaction evenness",0.542178352048249,0.542178352048249
"Alatalo interaction evenness",0.710931240487107,0.710931240487107
"H2",0.788013422363481,0.788013422363481
"number.of.species.HL",13,12
"mean.number.of.shared.partners.HL",0.243589743589744,0.242424242424242
"cluster.coefficient.HL",0.167562724014337,0.212572373862696
"weighted.cluster.coefficient.HL",0,0
"niche.overlap.HL",0.098092318560487,0.0625916798897884
"togetherness.HL",0.0625,0.0585016835016835
"C.score.HL",0.818910256410256,0.847643097643098
"V.ratio.HL",0.608,0.724137931034483
"discrepancy.HL",14,14
"extinction.slope.HL",1.71819583232408,1.66070926414823
"robustness.HL",0.631424663653591,0.621876709875943
"functional.complementarity.HL",93.3952621831293,89.3925616954563
"partner.diversity.HL",0.454093708388512,0.755094894637549
"generality.HL",1.77065805223395,2.23497389781119
