"","Violet-tailed Sylph","Tawny-bellied Hermit","Gorgeted Sunangel","Brown Inca","Speckled Hummingbird","Collared Inca","Booted Racketail","Buff-tailed Coronet","Green-crowned Brilliant","Green-fronted Lancebill","Fawn-breasted Brilliant"
"Bomarea pardina",0,0,0,0,0,0,0,0,0,0,1
"Gasteranthus quitensis",1,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",0,0,0,0,0,0,1,0,0,0,0
"Psammisia aberrans",0,0,0,1,0,0,0,0,0,0,0
"Drymonia tenuis",0,0,0,2,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,0,2,0
"Drymonia collegarum",2,0,0,1,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",0,0,3,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",1,0,0,0,0,0,0,0,2,0,0
"Sarcopera anomala",0,0,0,0,0,0,3,0,0,0,0
"Centropogon solanifolius",0,4,0,0,0,0,0,0,0,0,0
"Guzmania amplectens",2,0,0,2,0,0,0,0,0,0,0
"Macleania stricta",0,0,3,0,1,0,0,0,0,0,0
"Mezobromelia capituligera",1,0,0,0,0,3,0,0,0,0,0
"Fuchsia macrostigma",1,4,0,1,0,0,0,0,0,0,0
"Meriania tomentosa",1,0,1,0,0,0,0,4,0,0,0
"Columnea strigosa",10,6,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",2,3,4,1,6,2,0,0,0,0,0
