"","Violet-tailed Sylph","Green-fronted Lancebill","Tawny-bellied Hermit","Brown Inca","Booted Racketail","Collared Inca","Fawn-breasted Brilliant","Crowned Woodnymph","Gorgeted Sunangel","Speckled Hummingbird","Wedge-billed Hummingbird"
"Besleria solanoides",0,0,0,0,1,0,0,0,0,0,0
"Calathea ischnosiphonoides",0,0,0,0,1,0,0,0,0,0,0
"Drymonia tenuis",1,0,0,0,0,0,0,0,0,0,0
"Pitcairnia squarrosa",1,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",0,0,2,0,0,0,0,0,0,0,0
"Palicourea demissa",0,0,0,0,0,0,0,1,1,0,0
"Renealmia sessilifolia",1,0,0,1,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,3,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,0,0,0,0,1,0,0,1,1
"Kohleria affinis",4,0,0,1,0,0,0,0,0,0,0
"Mezobromelia capituligera",1,0,0,2,0,1,1,0,0,0,0
"Palicourea acetosoides",0,6,0,0,0,1,0,0,0,0,0
