"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Besleria solanoides",1,0.166666666666667,0.0555555555555556,-0.944444444444444,0.727272727272727,1,1,1,1,1.5,0,0,0.0910931174089069,0.0312151616499443,1677720700.50048,0,1,0.333333333333333,0.216177164664233,0
"Faramea calyptrata",1,0.166666666666667,0.2,-0.8,0.818181818181818,1,1,1,1,1.7,0,0,0.0789473684210526,0.0253623188405797,1677720700.50048,0,1,0.0925925925925926,0.216177164664233,0.443172696371219
"Kohleria affinis",1,0.166666666666667,0.333333333333333,-0.666666666666667,0.909090909090909,1,1,1,1,2,0,0,0.0688259109311741,0.0329916342641687,1677720700.50048,0,1,0.0555555555555556,0.216177164664233,0.619906233284066
"Palicourea demissa",1,0.166666666666667,0.0555555555555556,-0.944444444444444,1,1,1,1,1,1.5,0,0,0.0910931174089069,0.0312151616499443,1677720700.50048,0,1,0.333333333333333,0.216177164664233,0
"Gasteranthus pansamalanus",1,0.166666666666667,0.222222222222222,-0.777777777777778,0.636363636363636,1,1,1,1,1.8,0,0,0.0769230769230769,0.03528670447385,0.795926633452104,0,1,0.166666666666667,0.216177164664233,0.474428222876177
"Mezobromelia capituligera",2,0.333333333333333,0.533333333333333,-0.233333333333333,0.363636363636364,0.8,0.632455532033676,0.8,1,1.5,0.114942528735632,0.0846560846560847,0.0910931174089069,0.0359112479158651,2941562359.8741,0.693147180559945,2,0.148148148148148,0.432354329328466,0.526861197507404
"Centropogon solanifolius",1,0.166666666666667,0.333333333333333,-0.666666666666667,0.545454545454545,1,1,1,1,1.8,0,0,0.0769230769230769,0.0412675018422992,0.525261466517939,0,1,0.166666666666667,0.216177164664233,0.583901520242014
"Drymonia tenuis",1,0.166666666666667,0.222222222222222,-0.777777777777778,0.454545454545455,1,1,1,1,1.5,0,0,0.0910931174089069,0.0737812911725955,0.427945957592403,0,1,0.333333333333333,0.216177164664233,0.368714240716009
"Glossoloma oblongicalyx",3,0.5,0.477777777777778,-0.174074074074074,0.0909090909090909,0.8,0.5,0.6,1,1.1,0.339080459770115,0.187830687830688,0.115384615384615,0.0477408354646206,5.4525555311395,1.03972077083992,2.82842712474619,0.509259259259259,0.611441356287041,0.212196284343788
"Fuchsia macrostigma",3,0.5,0.677777777777778,-0.107407407407407,0,0.7,0.481663783151692,0.6,1,1.1,0.339080459770115,0.505291005291005,0.115384615384615,0.0527009222661397,3.16655491100451,1.05492016798614,2.87174588749259,0.459259259259259,0.62080588359432,0.299358318405963
"Palicourea acetosoides",2,0.333333333333333,0.888888888888889,-0.0555555555555555,0.272727272727273,0.98,0.895350709254191,0.8,1,1.3,0.206896551724138,0.222222222222222,0.103238866396761,0.104050538833148,0.715316431468451,0.304636097349238,1.35613141338627,0.388888888888889,0.293164643857944,0.589339485867906
"Palicourea lineata",2,0.333333333333333,2,0.5,0.181818181818182,0.976470588235294,0.87975065719587,0.8,1,NA,0,NA,0,NA,0.563935856848166,0.336495757583516,1.40003292973449,0.351851851851852,0.302655149186562,1
