"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racket-tail",1,0.166666666666667,0.555555555555556,-0.444444444444444,0.222222222222222,1,1,1,0.555555555555556,1,0,0,0.15625,0.666666666666667,0.241191785891597,0,1,0.415168773468381,0.771428571428571,0.244432978288568
"Booted Racketail",1,0.166666666666667,0.259259259259259,-0.740740740740741,0.333333333333333,1,1,1,0.259259259259259,1,0,0,0.15625,0.311111111111111,0.319256906602962,0,1,0.415168773468381,0.771428571428571,0.0757321821790277
"Violet-tailed Sylph",2,0.333333333333333,1.66666666666667,0.333333333333333,0,0.8,0.8,0.632455532033676,0.833333333333333,1,0,0,0.03125,NA,1.59181590415142,0.693147180559945,2,0.830337546936762,0.142857142857143,0.894551358163273
"Stripe-throated Hermit",1,0.166666666666667,0.0740740740740741,-0.925925925925926,0.444444444444444,1,1,1,0.0740740740740741,1,0,0,0.15625,0.0888888888888889,0.795926633452104,0,1,0.415168773468381,0.771428571428571,0
"Tawny-bellied Hermit",2,0.333333333333333,1.33333333333333,0.166666666666667,0.111111111111111,0.8,0.8,0.632455532033676,0.666666666666667,1,0,0,0.03125,NA,2941562359.8741,0.693147180559945,2,0.830337546936762,0.114285714285714,0.788946739441869
"Brown Inca",1,0.166666666666667,1,0,0.555555555555556,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.415168773468381,0.0285714285714286,1
"Crowned Woodnymph",1,0.166666666666667,0.037037037037037,-0.962962962962963,0.666666666666667,1,1,1,0.037037037037037,1,0,0,0.15625,0.0444444444444444,1677720700.50048,0,1,0.415168773468381,0.771428571428571,0
"Green-crowned Brilliant",1,0.166666666666667,1,0,0.777777777777778,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.415168773468381,0.0285714285714286,1
"Purple-bibbed Whitetip",1,0.166666666666667,0.037037037037037,-0.962962962962963,0.888888888888889,1,1,1,0.037037037037037,1,0,0,0.15625,0.0444444444444444,1677720700.50048,0,1,0.415168773468381,0.771428571428571,0
"White-whiskered Hermit",1,0.166666666666667,0.037037037037037,-0.962962962962963,1,1,1,1,0.037037037037037,1,0,0,0.15625,0.0444444444444444,1677720700.50048,0,1,0.415168773468381,0.771428571428571,0
