"","Violet-tailed Sylph","Tawny-bellied Hermit","Booted Racket-tail","Booted Racketail","Collared Inca","Brown Inca","Buff-tailed Coronet","Gorgeted Sunangel","Green-crowned Brilliant"
"Columnea strigosa",0,1,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,0,1,0,0,0
"Palicourea acetosoides",1,0,0,0,0,0,0,0,0
"Palicourea lineata",0,0,0,0,0,0,0,1,0
"Psammisia sodiroi",0,0,0,0,0,0,0,0,1
"Kohleria affinis",0,1,0,0,1,0,0,0,0
"Palicourea demissa",0,0,0,2,0,0,0,0,0
"Renealmia sessilifolia",3,0,0,0,0,0,0,0,0
"Columnea picta",4,0,0,0,0,0,0,0,0
"Besleria solanoides",0,0,3,2,0,0,0,0,0
"Psammisia ulbrichiana",1,0,2,0,1,0,1,0,0
"Centropogon solanifolius",0,6,0,0,0,0,0,0,0
