"","White-whiskered Hermit","Tawny-bellied Hermit","Stripe-throated Hermit","Booted Racketail","Purple-bibbed Whitetip","Booted Racket-tail","Brown Inca","Andean Emerald","Green-crowned Woodnymph","Green-crowned Brilliant","Wedge-billed Hummingbird","Buff-tailed Coronet","Rufous-tailed Hummingbird","Violet-tailed Slyph","White-necked Jacobin"
"Palicourea acetosoides",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Columnea mastersonii",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia burleana",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia quitensis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"Renealmia sessilifolia",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bomarea pardina",0,0,0,0,0,0,3,0,0,1,0,0,0,1,0
"Heliconia impudica",0,0,1,0,4,0,3,0,0,0,0,0,0,0,0
"Heliconia griggsiana",0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
"Drymonia teuscheri",6,12,6,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",8,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia aberrans",24,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",2,2,9,12,6,7,0,4,4,1,1,2,1,0,1
