"","Gorgeted Sunangel","Violet-tailed Sylph","Booted Racketail","Tawny-bellied Hermit","Brown Inca","Buff-tailed Coronet","Speckled Hummingbird","Crowned Woodnymph","Rufous-tailed Hummingbird","Wedge-billed Hummingbird"
"Columnea medicinalis",0,0,0,1,0,0,0,0,0,0
"Drymonia collegarum",0,0,0,0,1,0,0,0,0,0
"Meriania tomentosa",0,0,0,0,0,1,0,0,0,0
"Psammisia ulbrichiana",0,0,0,0,1,0,0,0,0,0
"Bomarea multiflora",0,0,0,0,0,0,2,0,0,0
"Centropogon solanifolius",0,0,0,2,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,2,0,0,0,0,0,0
"Drymonia tenuis",0,2,0,0,0,0,0,0,0,0
"Macleania stricta",1,0,0,0,0,1,0,0,0,0
"Palicourea acetosoides",0,2,0,0,1,0,0,0,0,0
"Palicourea lineata",10,1,0,0,0,1,0,0,0,0
"Palicourea demissa",0,3,7,1,0,0,0,1,1,1
