"","Booted Racket-tail","Gorgeted Sunangel","Violet-tailed Slyph","Violet-tailed Sylph","Tawny-bellied Hermit","Buff-tailed Coronet","Booted Racketail","Collared Inca","Green-fronted Lancebill","Hoary Puffleg","Brown Inca","Fawn-breasted Brilliant","Speckled Hummingbird","Wedge-billed Hummingbird"
"Glossoloma oblongicalyx",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pitcairnia sodiroi",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Psammisia ulbrichiana",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Heliconia burleana",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Mezobromelia capituligera",0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Bomarea multiflora",0,2,0,0,1,0,0,1,0,0,0,0,0,0
"Macleania stricta",0,3,0,0,0,1,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",5,0,0,0,1,0,0,0,0,0,0,0,0,0
"Palicourea lineata",0,5,0,0,0,1,0,0,0,0,0,0,1,0
"Macleania bullata",0,2,0,0,3,0,0,3,3,0,1,0,0,0
"Palicourea demissa",0,0,6,0,0,2,4,0,0,0,0,1,0,0
"Psammisia sodiroi",0,3,0,7,0,0,0,0,0,3,0,0,0,0
"Besleria solanoides",13,0,4,3,0,0,1,0,0,0,0,0,0,0
