"","upper","Hummingbird","mean","lower"
"1",11.3,"Booted Racket-tail",6.5,3.5
"2",5,"Brown Inca",3.6,2.5
"3",14.8,"Buff-tailed Coronet",7.7,3
"4",2.8,"Collared Inca",1.9,1.2
"5",0.4,"Fawn-breasted Brilliant",0.2,0.1
"6",3.1,"Gorgeted Sunangel",2,1.3
"7",12,"Green-crowned Woodnymph",4.6,1.7
"8",1.1,"Green-fronted Lancebill",0.7,0.3
"9",1.9,"Purple-bibbed Whitetip",0.7,0.3
"10",1.8,"Speckled Hummingbird",1.1,0.7
"11",4.4,"Stripe-throated Hermit",2.8,1.8
"12",13.1,"Tawny-bellied Hermit",7.4,3.6
"13",4.7,"Violet-tailed Sylph",2.9,2
"14",14.2,"White-whiskered Hermit",8.1,4.1
