"","Tawny-bellied Hermit","Violet-tailed Sylph","Brown Inca","Buff-tailed Coronet","Stripe-throated Hermit","Booted Racket-tail","Booted Racketail","White-whiskered Hermit","Wedge-billed Hummingbird","Gorgeted Sunangel","Crowned Woodnymph","Collared Inca","Green-crowned Woodnymph","Purple-bibbed Whitetip","Speckled Hummingbird"
"Bomarea pardina",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Guzmania amplectens",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Psammisia aberrans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Columnea medicinalis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kohleria affinis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea picta",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
"Centropogon solanifolius",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"Renealmia sessilifolia",0,0,0,0,1,5,0,0,0,0,0,0,1,0,1
"Palicourea demissa",0,0,0,0,0,0,7,0,0,0,2,0,0,1,0
"Heliconia griggsiana",1,0,0,0,1,0,0,4,5,0,0,0,0,0,0
"Guzmania jaramilloi",0,9,0,0,0,3,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",0,0,1,12,0,0,0,0,0,0,0,1,0,0,0
"Columnea strigosa",7,2,7,0,0,0,0,0,0,0,0,0,0,0,0
