"","Brown Inca","Buff-tailed Coronet","Collared Inca","Tawny-bellied Hermit","Violet-tailed Sylph","Crowned Woodnymph","Booted Racketail","Stripe-throated Hermit","Gorgeted Sunangel","Speckled Hummingbird","White-whiskered Hermit"
"Columnea ciliata",0,0,0,1,0,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,1
"Gasteranthus quitensis",0,0,0,0,0,0,0,1,0,0,0
"Glossoloma oblongicalyx",0,0,0,0,1,0,0,0,0,0,0
"Guzmania amplectens",1,0,0,0,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,1,0,0,0,0,0,0,0
"Mezobromelia capituligera",1,0,0,0,0,0,0,0,0,0,0
"Salvia quitensis",0,0,0,0,0,1,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,0,0,0,1,0,0,0
"Columnea medicinalis",0,0,0,2,0,0,0,0,0,0,0
"Bomarea pardina",1,0,3,0,0,0,0,0,0,0,0
"Columnea strigosa",5,0,0,0,0,0,0,0,0,0,0
"Drymonia teuscheri",0,0,3,0,3,0,0,0,0,1,0
"Fuchsia macrostigma",3,0,0,3,2,0,0,0,0,0,0
"Palicourea demissa",0,0,0,0,0,4,4,0,0,0,0
"Meriania tomentosa",1,10,2,0,0,0,0,0,1,0,0
