"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Brown Inca",6,0.375,3.69642857142857,0.449404761904762,0,0.906666666666667,0.666666666666667,0.463481191435871,0.703869047619048,1.16666666666667,0.388888888888889,0.166666666666667,0.157142857142857,0.0823798627002289,4.77542110663109,1.5396544474401,4.66297868833838,0.463129087358405,0.416666666666667,0.574116839441642
"Buff-tailed Coronet",1,0.0625,0.714285714285714,-0.285714285714286,0.6,1,1,1,0.714285714285714,1.5,0,0,0.128571428571429,0.197368421052632,0.276628966116504,0,1,0.0993204383534161,0.245614035087719,0.777290981694672
"Collared Inca",3,0.1875,1.32142857142857,0.107142857142857,0.2,0.888888888888889,0.866666666666667,0.547722557505166,0.477678571428571,1.16666666666667,0.388888888888889,0.547619047619048,0.157142857142857,0.131578947368421,1.74344393002143,1.08219553003877,2.95115178586752,0.293109689019829,0.43859649122807,0.468238288231313
"Tawny-bellied Hermit",4,0.25,3.375,0.59375,0.1,0.911111111111111,0.8,0.509768521564672,0.732142857142857,1.66666666666667,0,0,0.114285714285714,0.0728744939271255,3.87837451962527,1.27703425946614,3.58598882705695,0.356161982233749,0.210526315789474,0.773521440746194
"Violet-tailed Sylph",3,0.1875,1.67857142857143,0.226190476190476,0.3,0.933333333333333,0.866666666666667,0.590040802104522,0.464285714285714,1.33333333333333,0.222222222222222,0.285714285714286,0.142857142857143,0.0947368421052632,2.38771671927057,1.01140426470735,2.74945927399721,0.273077500328268,0.280701754385965,0.547302286816147
"Crowned Woodnymph",2,0.125,1.5,0.25,0.4,0.983333333333333,0.933333333333333,0.811582815655104,0.6,1,0,0,0.0285714285714286,NA,1.23549253245909,0.500402423538188,1.64938488846612,0.163817630135955,0.157894736842105,0.732202118285589
"Booted Racketail",1,0.0625,0.5,-0.5,0.7,1,1,1,0.5,1,0,0,0.0285714285714286,NA,0.427945957592403,0,1,0.0993204383534161,0.140350877192982,0.682909868761983
"Stripe-throated Hermit",2,0.125,2,0.5,0.5,0.933333333333333,0.933333333333333,0.683130051063973,1,NA,0,0,0,NA,2941562359.8741,0.693147180559945,2,0.198640876706832,0.0350877192982456,1
"Gorgeted Sunangel",1,0.0625,0.0714285714285714,-0.928571428571429,0.8,1,1,1,0.0714285714285714,1.5,0,0,0.128571428571429,0.0451127819548872,1677720700.50048,0,1,0.0993204383534161,0.245614035087719,0
"Speckled Hummingbird",1,0.0625,0.142857142857143,-0.857142857142857,0.9,1,1,1,0.142857142857143,1.66666666666667,0,0,0.114285714285714,0.0410116199589884,1677720700.50048,0,1,0.0993204383534161,0.12280701754386,0.262649535037193
"White-whiskered Hermit",1,0.0625,1,0,1,1,1,1,1,NA,0,NA,0,NA,1677720700.50048,0,1,0.0993204383534161,0.0175438596491228,1
