"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Centropogon solanifolius",1,0.0769230769230769,0.333333333333333,-0.666666666666667,0.785714285714286,1,1,1,1,1,0,0,0.0104529616724739,NA,1677720700.50048,0,1,0.0267857142857143,0.0948826374494783,0.626885699978363
"Mezobromelia capituligera",1,0.0769230769230769,0.333333333333333,-0.666666666666667,0.857142857142857,1,1,1,1,2.09090909090909,0,0,0.0627177700348432,0.021777841815876,1677720700.50048,0,1,0.0267857142857143,0.0948826374494783,0.626885699978363
"Psammisia ulbrichiana",1,0.0769230769230769,0.0526315789473684,-0.947368421052632,0.928571428571429,1,1,1,1,1.72727272727273,0,0,0.0801393728222997,0.0211314729810639,1677720700.50048,0,1,0.169642857142857,0.0948826374494783,0
"Stromanthe stromanthoides",1,0.0769230769230769,0.166666666666667,-0.833333333333333,1,1,1,1,1,2,0,0,0.0679442508710802,0.0174823502577101,1677720700.50048,0,1,0.0535714285714286,0.0948826374494783,0.391476786611725
"Columnea medicinalis",1,0.0769230769230769,0.666666666666667,-0.333333333333333,0.642857142857143,1,1,1,1,1,0,0,0.0104529616724739,NA,0.795926633452104,0,1,0.0267857142857143,0.0948826374494783,0.859643645749177
"Glossoloma purpureum",1,0.0769230769230769,0.333333333333333,-0.666666666666667,0.714285714285714,1,1,1,1,2,0,0,0.0679442508710802,0.026097930948126,0.795926633452104,0,1,0.0535714285714286,0.0948826374494783,0.619702873344471
"Gasteranthus quitensis",2,0.153846153846154,0.348484848484849,-0.325757575757576,0.5,0.958333333333333,0.720082299823096,0.916666666666667,1,1.63636363636364,0.155038759689923,0.0361990950226244,0.0818815331010453,0.0309304923103359,2.62230229845195,0.636514168294813,1.88988157484231,0.151785714285714,0.179316948288212,0.376542731777847
"Palicourea demissa",3,0.230769230769231,0.516666666666667,-0.161111111111111,0.428571428571429,0.916666666666667,0.568257570707744,0.833333333333333,1,1.45454545454545,0.275968992248062,0.253393665158371,0.0888501742160279,0.0393047557761945,5.4525555311395,1.03972077083992,2.82842712474619,0.25,0.268368625429563,0.354910095015955
"Psammisia ecuadorensis",1,0.0769230769230769,1,0,0.571428571428571,1,1,1,1,NA,0,0,0,NA,0.34265736795781,0,1,0.0535714285714286,0.0948826374494783,1
"Macleania stricta",4,0.307692307692308,1.42763157894737,0.106907894736842,0.142857142857143,0.888888888888889,0.498296417534675,0.75,1,1.63636363636364,0.0558139534883721,0.0407239819004525,0.0853658536585366,0.04211018832612,3.87837451962527,1.27703425946614,3.58598882705695,0.267857142857143,0.340248077775525,0.557205728619928
"Guzmania squarrosa",3,0.230769230769231,0.945773524720893,-0.0180754917597023,0.357142857142857,0.933333333333333,0.620301267572008,0.833333333333333,1,1.45454545454545,0.0713178294573644,0.0361990950226244,0.0888501742160279,0.0510986203372509,1.57579951959953,0.936888307539016,2.55202792428089,0.294642857142857,0.242143140300489,0.500806732443814
"Psammisia sodiroi",3,0.230769230769231,0.824162679425837,-0.0586124401913876,0.285714285714286,0.875,0.553774924194538,0.833333333333333,1,1.45454545454545,0.0713178294573644,0.14027149321267,0.0888501742160279,0.0587419433792935,1.45308990103431,1.05492016798614,2.87174588749259,0.339285714285714,0.27247882388999,0.426281725370278
"Meriania tomentosa",4,0.307692307692308,1.56359649122807,0.140899122807018,0.0714285714285714,0.961538461538462,0.682521532067611,0.75,1,1.36363636363636,0.108527131782946,0,0.0940766550522648,0.0479443845139638,1.54631446890569,0.943045670002009,2.56779016233323,0.345394736842105,0.243638703019001,0.696695332244737
"Besleria solanoides",4,0.307692307692308,1.90438596491228,0.22609649122807,0,0.888888888888889,0.54537150928919,0.75,1,1.27272727272727,0.262015503875969,0.493212669683258,0.0993031358885017,0.0835674582127538,1.46520655600995,1.15374194270109,3.17003282492367,0.392857142857143,0.300781075230178,0.617890484375317
"Sarcopera anomala",3,0.230769230769231,2.58333333333333,0.527777777777778,0.214285714285714,0.96078431372549,0.710117361192266,0.833333333333333,1,1.72727272727273,0,0,0.0731707317073171,0.0664596688268989,0.890139732273476,0.747435909174486,2.11157878952197,0.267857142857143,0.200352164732221,0.89763612017988
