"","Tawny-bellied Hermit","Violet-tailed Sylph","White-whiskered Hermit","Booted Racketail","Stripe-throated Hermit","Gorgeted Sunangel","Brown Inca","Green-crowned Woodnymph","Speckled Hummingbird","Buff-tailed Coronet","Collared Inca","Crowned Woodnymph","Booted Racket-tail","Green-crowned Brilliant","Green-fronted Lancebill","Fawn-breasted Brilliant","Rufous-tailed Hummingbird"
"Bomarea pardina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Glossoloma purpureum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Psammisia aberrans",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Drymonia collegarum",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Sarcopera anomala",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania stricta",0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"Columnea ciliata",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Meriania tomentosa",0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
"Guzmania amplectens",0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,6,0,0,2,0,0,0,0,2,0,0,0,0
"Columnea mastersonii",1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea strigosa",6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",3,2,0,0,0,4,1,0,6,0,2,0,0,0,0,0,0
"Palicourea demissa",0,0,2,9,0,0,0,5,0,0,0,3,0,0,0,0,1
