"","Brown Inca","Fawn-breasted Brilliant","Violet-tailed Sylph","Booted Racketail","Tawny-bellied Hermit","Crowned Woodnymph","Collared Inca","Gorgeted Sunangel","Green-fronted Lancebill","Wedge-billed Hummingbird","White-whiskered Hermit"
"Besleria solanoides",0,0,0,1,0,0,0,0,0,0,0
"Guzmania fusispica",0,0,0,0,0,0,0,0,0,1,0
"Heliconia griggsiana",0,0,0,0,1,0,0,0,0,0,0
"Heliconia impudica",0,0,0,0,0,0,1,0,0,0,0
"Meriania tomentosa",0,0,0,0,0,0,0,1,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,1,0,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,0,1
"Columnea strigosa",0,0,1,0,1,0,0,0,0,0,0
"Columnea ciliata",1,0,2,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,1,0,2,0,0,0,0,0,0
"Palicourea demissa",0,0,0,2,0,2,0,0,0,0,0
"Bomarea pardina",2,6,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",12,0,1,1,0,0,0,0,0,0,0
