"","Tawny-bellied Hermit","Violet-tailed Sylph","Brown Inca","Green-fronted Lancebill","Collared Inca","Booted Racketail","Fawn-breasted Brilliant","Crowned Woodnymph","Gorgeted Sunangel","Speckled Hummingbird","Stripe-throated Hermit","Wedge-billed Hummingbird"
"Besleria solanoides",0,0,0,0,0,1,0,0,0,0,0,0
"Calathea ischnosiphonoides",0,0,0,0,0,1,0,0,0,0,0,0
"Drymonia tenuis",0,1,0,0,0,0,0,0,0,0,0,0
"Justicia secunda",0,0,0,0,0,0,0,0,0,0,1,0
"Pitcairnia squarrosa",0,1,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",2,0,0,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",0,1,1,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,0,0,0,0,1,0,0,1,0,1
"Palicourea demissa",0,0,0,0,0,1,0,1,1,0,0,0
"Kohleria affinis",0,4,1,0,1,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,6,1,0,0,0,0,0,0,0
"Centropogon solanifolius",7,1,0,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,1,4,0,2,0,1,0,0,0,0,0
