"","Brown Inca","Green-fronted Lancebill","Fawn-breasted Brilliant","Collared Inca","Tawny-bellied Hermit","Violet-tailed Sylph","Booted Racket-tail","Booted Racketail","Crowned Woodnymph","Gorgeted Sunangel"
"Centropogon solanifolius",0,0,0,0,1,0,0,0,0,0
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0
"Heliconia burleana",0,0,0,0,1,0,0,0,0,0
"Justicia secunda",0,0,0,0,0,0,0,0,1,0
"Palicourea demissa",0,0,0,0,0,0,0,1,0,1
"Drymonia brochidodroma",0,0,0,0,0,3,0,0,0,0
"Mezobromelia capituligera",3,0,0,1,0,0,0,0,0,0
"Pitcairnia nigra",0,0,0,0,4,0,0,0,0,0
"Psammisia ulbrichiana",1,0,0,0,0,2,1,0,0,0
"Kohleria affinis",0,0,1,5,0,0,0,0,0,0
"Palicourea acetosoides",0,9,0,0,0,0,0,0,0,0
"Guzmania lehmanniana",9,0,6,0,0,0,0,0,0,0
