"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.172549019607843,0.172549019607843
"web asymmetry",0.0625,0.0625
"links per species",1.375,1.375
"number of compartments",2,2
"compartment diversity",1.26338125030273,1.26338125030273
"cluster coefficient",0.133333333333333,0.133333333333333
"nestedness",13.5225309528523,13.6290994284963
"weighted nestedness",0.489525965031024,0.477457516330939
"weighted NODF",0,0
"interaction strength asymmetry",0,0
"specialisation asymmetry",-0.0208163363835017,-0.0208163363835017
"linkage density",4.65909090909091,4.65909090909091
"weighted connectance",0.145596590909091,0.145596590909091
"Fisher alpha",53687084240.1827,53687084240.1827
"Shannon diversity",3.78418963391826,3.78418963391826
"interaction evenness",0.682910964814988,0.682910964814988
"Alatalo interaction evenness",1,1
"H2",0,0
"number.of.species.HL",17,15
"mean.number.of.shared.partners.HL",0.676470588235294,0.657142857142857
"cluster.coefficient.HL",0.275757575757576,0.304812834224599
"weighted.cluster.coefficient.HL",0.297872340425532,0.222748815165877
"niche.overlap.HL",0.263981239348886,0.207023452737738
"togetherness.HL",0.120234204793028,0.0951020408163265
"C.score.HL",0.530756399782135,0.59640589569161
"V.ratio.HL",2.22692307692308,3.10460251046025
"discrepancy.HL",22,19
"extinction.slope.HL",2.08094440472319,0.999816788452113
"robustness.HL",0.666007802691719,0.687967138513213
"functional.complementarity.HL",23.5710959869081,24.5287755681894
"partner.diversity.HL",1.19787017702983,1.37816474432616
"generality.HL",4.13636363636364,5.18181818181818
"Raw.Camera",103,103
"Raw.Transect",41,41
