"","Violet-tailed Sylph","Tawny-bellied Hermit","Booted Racketail","Booted Racket-tail","White-whiskered Hermit","Stripe-throated Hermit","Brown Inca","Collared Inca","Crowned Woodnymph","Buff-tailed Coronet","Gorgeted Sunangel","Green-crowned Brilliant"
"Columnea strigosa",0,1,0,0,0,0,0,0,0,0,0,0
"Heliconia impudica",0,0,0,0,0,0,1,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,0,0,1,0,0,0,0,0
"Palicourea acetosoides",1,0,0,0,0,0,0,0,0,0,0,0
"Palicourea lineata",0,0,0,0,0,0,0,0,0,0,1,0
"Psammisia sodiroi",0,0,0,0,0,0,0,0,0,0,0,1
"Kohleria affinis",0,1,0,0,0,0,0,1,0,0,0,0
"Renealmia sessilifolia",3,0,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,3,0,0,0,0,0,0,0
"Columnea picta",4,0,0,0,0,0,0,0,0,0,0,0
"Besleria solanoides",0,0,2,3,0,0,0,0,0,0,0,0
"Psammisia ulbrichiana",1,0,0,2,0,0,0,1,0,1,0,0
"Centropogon solanifolius",0,6,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",0,0,4,0,2,3,0,0,2,0,0,0
