"","Booted Racketail","Buff-tailed Coronet","Violet-tailed Sylph","Tawny-bellied Hermit","Brown Inca","Sparkling Violetear","Andean Emerald","White-whiskered Hermit","Booted Racket-tail","Collared Inca","Speckled Hummingbird","Stripe-throated Hermit","Green-crowned Brilliant","Gorgeted Sunangel","Crowned Woodnymph","Green-crowned Woodnymph","Purple-bibbed Whitetip","Tyrian Metaltail","Wedge-billed Hummingbird"
"Burmeistera cylindrocarpa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea medicinalis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia teuscheri",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania bullata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Macleania stricta",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Palicourea demissa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia virginalis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Tillandsia complanata",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sarcopera anomala",6,1,1,0,0,6,0,0,2,0,0,0,0,0,0,0,1,0,0
"Meriania tomentosa",0,17,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
"Heliconia griggsiana",0,0,0,4,6,0,8,6,0,0,0,4,1,0,0,0,0,0,1
"Besleria solanoides",16,1,7,0,1,4,0,0,2,0,4,0,0,0,0,0,0,0,0
