"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Violet-tailed Sylph",40,0.5,13.6190169264756,0.315475423161891,0.0476190476190476,0.898439799823374,0.506329113924051,0.20651480955436,0.316061550653393,1,0.127521966337756,0.292906178489703,0.0495283018867925,0.116257316077358,11.1908751658362,3.21413201321102,24.881685561154,0.728270652315975,0.606558043363168,0.251588487516259
"Booted Racket-tail",27,0.3375,9.04293209092769,0.297886373738063,0.142857142857143,0.979659537319948,0.670886075949367,0.510599795018208,0.487525585177037,1,0.127521966337756,0.334096109839817,0.0495283018867925,0.15478182331353,6.65526742034592,1.77201370682675,5.88268745006891,0.172182411682,0.382318457328567,0.527351061300644
"Tawny-bellied Hermit",41,0.5125,13.1025987255058,0.295185334768433,0,0.958860759493671,0.493670886075949,0.27950228518371,0.488241587299845,1.04761904761905,0.0555921417763523,0.153318077803204,0.0483490566037736,0.090214856319975,12.732002093972,2.98301722616769,19.7473089460588,0.577990809034414,0.367545967032183,0.51458277049907
"Brown Inca",38,0.475,9.82014851815421,0.232109171530374,0.0952380952380952,0.959950197136335,0.531645569620253,0.281362294218615,0.347498787874775,1.04761904761905,0.0555921417763523,0.102974828375286,0.0483490566037736,0.094144589073024,12.3836598248563,2.98117608001414,19.7109847135213,0.576927622520786,0.414084713329152,0.407554573748072
"Buff-tailed Coronet",15,0.1875,4.20721670874789,0.213814447249859,0.333333333333333,0.994543867306853,0.822784810126582,0.703975737741902,0.517409850718403,1,0.127521966337756,0.0709382151029748,0.0495283018867925,0.0926428171391995,4.00070851755625,1.27524781047223,3.57958835968114,0.104772208591754,0.312743899171291,0.599690941321252
"Stripe-throated Hermit",15,0.1875,4.34601743667285,0.223067829111523,0.380952380952381,0.965263467765676,0.822784810126582,0.366326344560588,0.415488574099733,1.14285714285714,0.0135916714864083,0,0.0459905660377359,0.0668882098895516,4.0443180518228,2.22373450305753,9.24177995623216,0.270500850946922,0.304521126300693,0.562623362987812
"Gorgeted Sunangel",18,0.225,4.7515907585776,0.208421708809867,0.238095238095238,0.95877034358047,0.784810126582278,0.355679050405539,0.310965579995553,1.04761904761905,0.0555921417763523,0,0.0483490566037736,0.0745085415293393,5.35526845005738,2.31628595485625,10.1379514878203,0.296731205168407,0.290976098915265,0.487838360158015
"White-whiskered Hermit",18,0.225,4.60672334328785,0.200373519071547,0.285714285714286,0.94126582278481,0.784810126582278,0.310148291031276,0.360712258000531,1.04761904761905,0.0555921417763523,0,0.0483490566037736,0.0576204512519832,5.47737666913445,2.45549923815476,11.6522493444867,0.341053712386202,0.282687062831775,0.527670732559655
"Collared Inca",19,0.2375,3.54709392676352,0.134057575092817,0.19047619047619,0.938198064035741,0.772151898734177,0.293559559867965,0.197281645163183,1.23809523809524,0.0198380566801619,0,0.0436320754716981,0.0525094370980055,6.95075150233521,2.55071306905207,12.816239388789,0.375122939198422,0.354193287505055,0.384943651242616
"Sparkling Violetear",3,0.0375,0.586669817380979,-0.137776727539674,0.80952380952381,0.99855792340971,0.974683544303797,0.901086742611974,0.492656283437331,1.14285714285714,0.0582706766917293,0.045766590389016,0.0459905660377359,0.0649859030890953,0.600756171204916,0.365724170406236,1.44155756357406,0.042193446444567,0.153700878579568,0.721109693885742
"Speckled Hummingbird",15,0.1875,2.13622525102919,0.0757483500686128,0.428571428571429,0.960216998191682,0.822784810126582,0.332509505398841,0.205931886976353,1.19047619047619,0.0268347149926097,0,0.044811320754717,0.0517730066648584,5.22511583494348,2.33982841943295,10.3794554970782,0.303799869464761,0.324809087571055,0.423165241448961
"Green-crowned Woodnymph",12,0.15,3.83359919917222,0.236133266597685,0.476190476190476,0.994706559263521,0.860759493670886,0.709219196797976,0.217692649810928,1.14285714285714,0.0135916714864083,0,0.0459905660377359,0.0555869867633101,3.96060577551052,1.25101348191891,3.49388215009094,0.102263643928304,0.201017138946779,0.48959718084666
"Green-fronted Lancebill",5,0.0625,0.57939070649597,-0.0841218587008061,0.714285714285714,0.9957805907173,0.949367088607595,0.766443433530894,0.308857344186292,1.38095238095238,0,0,0.0400943396226415,0.0277021252259644,1.5767878275524,0.813014710748187,2.2546950043521,0.0659934471705027,0.115401896032709,0.650811253633052
"Fawn-breasted Brilliant",12,0.15,1.61448450094691,0.0512070417455754,0.523809523809524,0.960443037974684,0.860759493670886,0.354818938581512,0.165610080341555,1.04761904761905,0.0901681651681652,0,0.0483490566037736,0.0228538207775665,6.78378151081436,2.2045279517354,9.06597098174538,0.265355037323572,0.362594811846733,0.374325127093783
"Purple-bibbed Whitetip",7,0.0875,0.839486847201836,-0.0229304503997378,0.666666666666667,0.987341772151899,0.924050632911392,0.541236416607634,0.0998004962364298,1.04761904761905,0.0901681651681652,0,0.0483490566037736,0.0216439453611014,3.143316848856,1.52894481957057,4.61330638254551,0.135028458594268,0.324846807054652,0.289592972073126
"Andean Emerald",2,0.025,0.159034433794817,-0.420482783102591,0.857142857142857,0.993248945147679,0.987341772151899,0.735235293172195,0.0699016838758469,1.23809523809524,0,0,0.0436320754716981,0.0221693082537708,0.526333947724239,0.646090505060809,1.90806665148636,0.0558478621363899,0.155681358673676,0.362524435660323
"Wedge-billed Hummingbird",8,0.1,1.51726666707343,0.0646583333841785,0.619047619047619,0.974683544303797,0.911392405063291,0.427229833704797,0.115881640863237,1.0952380952381,0.0270102704313231,0,0.0471698113207547,0.0172733080453538,4.71708467009982,1.84285700552767,6.31455322781953,0.184822840358038,0.215739510523174,0.370114958645777
"Green-crowned Brilliant",10,0.125,0.507229711359241,-0.0492770288640759,0.571428571428571,0.968354430379747,0.886075949367089,0.363327996819755,0.0497762878592727,1.04761904761905,0.0555921417763523,0,0.0483490566037736,0.0115997651580545,15.6487268476961,2.14395220064387,8.53309557943133,0.249758123043284,0.30070475420253,0.237045964132382
"Hoary Puffleg",4,0.05,1.13753244519498,0.034383111298746,0.761904761904762,0.9957805907173,0.962025316455696,0.760301960887881,0.162976188614734,1.52380952380952,0,0,0.0365566037735849,0.0107235946724795,2.10104617912801,0.836988216785836,2.3094010767585,0.0675946581069215,0.118883946623534,0.484655877892902
"Rufous-tailed Hummingbird",1,0.0125,0.0191693290734824,-0.980830670926518,0.904761904761905,1,1,1,0.0191693290734824,1.23809523809524,0,0,0.0436320754716981,0.00626488727788446,0.34265736795781,0,1,0.0292693455403589,0.126566922765871,0.228164128926861
"White-necked Jacobin",1,0.0125,0.012779552715655,-0.987220447284345,0.952380952380952,1,1,1,0.012779552715655,1.23809523809524,0,0,0.0436320754716981,0.00419300923572707,0.427945957592403,0,1,0.0292693455403589,0.126566922765871,0.178585374166485
"Green Violetear",1,0.0125,0.0137931034482759,-0.986206896551724,1,1,1,1,0.0137931034482759,1.71428571428571,0,0,0.0318396226415094,0.00209311201669578,0.795926633452104,0,1,0.0292693455403589,0.0586332389809947,0.226714193290266
