"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.177272727272727,0.177272727272727
"web asymmetry",-0.568627450980392,-0.568627450980392
"links per species",3.05882352941176,3.05882352941176
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.15,0.15
"nestedness",11.925945300077,11.9328426051288
"weighted nestedness",0.573893262773147,0.571968125915649
"weighted NODF",22.7110372719493,22.7110372719493
"interaction strength asymmetry",-0.129321037767563,-0.129321037767563
"specialisation asymmetry",0.129951910010729,0.129951910010729
"linkage density",8.4756120652939,8.4756120652939
"weighted connectance",0.0830942359342539,0.0830942359342539
"Fisher alpha",94.4797664941285,94.4797664941285
"Shannon diversity",4.86740463370862,4.86740463370862
"interaction evenness",0.65132605846018,0.65132605846018
"Alatalo interaction evenness",0.482177244508571,0.482177244508571
"H2",0.465146966008899,0.465146966008899
"number.of.species.HL",22,80
"mean.number.of.shared.partners.HL",3.59307359307359,1.16835443037975
"cluster.coefficient.HL",0.321603315810756,0.36521707164651
"weighted.cluster.coefficient.HL",0.687852707920388,0.909015209401504
"niche.overlap.HL",0.171612545220184,0.202321211219462
"togetherness.HL",0.0990527088088064,0.126971963594518
"C.score.HL",0.431037735348322,0.503913174879579
"V.ratio.HL",14.7113654946852,3.49953660797034
"discrepancy.HL",140,130
"extinction.slope.HL",7.82478183139694,2.82210491452752
"robustness.HL",0.861914304950815,0.725373385998694
"functional.complementarity.HL",1240.12806901932,1398.69302962526
"partner.diversity.HL",2.29348149318585,1.3361900957802
"generality.HL",12.7709876462712,4.18023648431655
