"","Booted Racketail","Buff-tailed Coronet","Violet-tailed Sylph","Sparkling Violetear","Brown Inca","Tawny-bellied Hermit","Gorgeted Sunangel","Speckled Hummingbird","Collared Inca","Stripe-throated Hermit","White-whiskered Hermit","Hoary Puffleg","Green-fronted Lancebill","Purple-bibbed Whitetip","Crowned Woodnymph","Fawn-breasted Brilliant","Green Violetear","Tyrian Metaltail"
"Burmeistera cylindrocarpa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea picta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Heppiella ulmifolia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania macrantha",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Palicourea sodiroi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia teuscheri",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia aberrans",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea medicinalis",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Salvia quitensis",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Macleania bullata",0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Tillandsia complanata",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
"Gasteranthus quitensis",0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"Guzmania jaramilloi",0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania stricta",0,0,1,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0
"Guzmania amplectens",0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0
"Bomarea pardina",0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",1,0,4,0,0,0,4,5,1,0,0,6,0,0,0,0,0,0
"Sarcopera anomala",21,1,5,30,0,0,0,0,0,0,0,0,0,2,0,1,1,0
"Meriania tomentosa",2,37,7,0,0,0,7,7,3,0,0,1,0,0,0,0,0,1
"Besleria solanoides",61,1,7,4,2,2,1,1,0,0,0,0,0,1,0,0,0,0
