"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Booted Racketail",9,0.290322580645161,4.13515057347025,0.348350063718916,0.176470588235294,0.984153005464481,0.733333333333333,0.706326496276024,0.631124063398654,1.06666666666667,0.178698752228164,0.385416666666667,0.0756521739130435,0.128775693390229,2.48966594812758,0.98775887846489,2.68520984230294,0.221684812914641,0.47953216374269,0.551303065953232
"Buff-tailed Coronet",5,0.161290322580645,2.59812421185372,0.319624842370744,0.352941176470588,0.996396396396396,0.866666666666667,0.90037117514056,0.563181265955156,1.13333333333333,0.125430778371955,0.111111111111111,0.0730434782608696,0.0979384505298811,1.49325575961041,0.454938828464398,1.5760769690367,0.13011732733719,0.244686920553416,0.643830373929435
"Violet-tailed Sylph",10,0.32258064516129,3.1870801557277,0.21870801557277,0.117647058823529,0.866666666666667,0.7,0.338061701891407,0.242596135974356,1.06666666666667,0.178698752228164,0.225694444444444,0.0756521739130435,0.0727370100300496,4.67703046879793,2.07949413640842,8.0004207688937,0.660496529339967,0.690810359231412,0.179789647160591
"Sparkling Violetear",2,0.0645161290322581,0.541803278688525,-0.229098360655738,0.588235294117647,0.995555555555556,0.966666666666667,0.886265833724668,0.439826422372228,1.33333333333333,0.0392156862745098,0.0902777777777778,0.0652173913043478,0.092037094150068,0.464361213009543,0.362210557135449,1.43650137573418,0.118594284034853,0.296009631922945,0.550293828750568
"Brown Inca",12,0.387096774193548,5.29444444444444,0.35787037037037,0,0.941666666666667,0.633333333333333,0.396726735734622,0.560185185185185,1.26666666666667,0.169429590017825,0.0902777777777778,0.0678260869565217,0.0336558176222603,6.78378151081436,2.06528538528845,7.88754856680861,0.651178057238346,0.259436469962786,0.633852076350121
"Tawny-bellied Hermit",11,0.354838709677419,5.63141025641026,0.421037296037296,0.0588235294117647,0.941666666666667,0.666666666666667,0.394327702948346,0.673543123543124,1.33333333333333,0.131550802139037,0.0972222222222222,0.0652173913043478,0.0214296403090706,5.77788603047007,2.04123008988502,7.70007516026222,0.635700679492307,0.247740563530037,0.693553144499893
"Gorgeted Sunangel",6,0.193548387096774,1.33844627594628,0.0564077126577127,0.235294117647059,0.947619047619048,0.833333333333333,0.484322104837853,0.216075668159001,1.26666666666667,0.0469994058229352,0,0.0678260869565217,0.0512686959628539,3.15157264340677,1.51749809498804,4.56080022007138,0.376529285569896,0.353801169590643,0.340121301938724
"Speckled Hummingbird",4,0.129032258064516,0.524954212454212,-0.118761446886447,0.411764705882353,0.966666666666667,0.9,0.606091526731326,0.151677786499215,1.2,0.0806595365418895,0,0.0704347826086956,0.0504188634867165,1.87083692718106,1.09130300064685,2.97815207957768,0.245869457273516,0.340434419381788,0.293872787995888
"Collared Inca",6,0.193548387096774,2.01043956043956,0.168406593406593,0.294117647058824,0.922222222222222,0.833333333333333,0.440454310910905,0.276941391941392,1.46666666666667,0.0101010101010101,0,0.06,0.0266625541446655,6.33308941886532,1.64341771979318,5.17281857971787,0.427056128359284,0.301169590643275,0.436389095713469
"Stripe-throated Hermit",4,0.129032258064516,2.36666666666667,0.341666666666667,0.470588235294118,0.958333333333333,0.9,0.557773351022717,0.818518518518518,1.66666666666667,0,0,0.0521739130434783,0.0101621945373522,2.75920174118743,1.21488965394912,3.36992218619932,0.278213105588719,0.0526315789473684,0.884930448368798
"White-whiskered Hermit",3,0.0967741935483871,0.976923076923077,-0.00769230769230768,0.529411764705882,0.966666666666667,0.933333333333333,0.621657730051942,0.397115384615385,2.13333333333333,0,0,0.0408695652173913,0.0146995068508013,1.74344393002143,0.974314752869349,2.6493511285621,0.218724399124344,0.0847953216374269,0.692156696820454
"Hoary Puffleg",2,0.0645161290322581,0.301098901098901,-0.349450549450549,0.647058823529412,0.994444444444444,0.966666666666667,0.864256197843096,0.247095761381476,1.6,0,0,0.0565217391304348,0.0317758972959903,0.935412999044635,0.410116318288409,1.50699306577254,0.124413917521965,0.204260651629073,0.518260379194723
"Green-fronted Lancebill",1,0.032258064516129,1,0,0.764705882352941,1,1,1,1,NA,0,0,0,NA,0.525261466517939,0,1,0.0825577239522241,0.0087719298245614,1
"Purple-bibbed Whitetip",2,0.0645161290322581,0.0452868852459016,-0.477356557377049,0.705882352941177,0.983333333333333,0.966666666666667,0.735350760345524,0.0260245901639344,1.33333333333333,0.0392156862745098,0,0.0652173913043478,0.0153147589251804,2.62230229845195,0.636514168294813,1.88988157484231,0.156024321358226,0.412280701754386,0.114452895782449
"Crowned Woodnymph",1,0.032258064516129,1,0,0.823529411764706,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0825577239522241,0.00292397660818713,1
"Fawn-breasted Brilliant",1,0.032258064516129,0.0163934426229508,-0.983606557377049,0.882352941176471,1,1,1,0.0163934426229508,1.66666666666667,0,0,0.0539130434782609,0.00548283616993379,1677720700.50048,0,1,0.0825577239522241,0.178362573099415,0.0618783939730093
"Green Violetear",1,0.032258064516129,0.0163934426229508,-0.983606557377049,0.941176470588235,1,1,1,0.0163934426229508,1.66666666666667,0,0,0.0539130434782609,0.00548283616993379,1677720700.50048,0,1,0.0825577239522241,0.178362573099415,0.0618783939730093
"Tyrian Metaltail",1,0.032258064516129,0.0153846153846154,-0.984615384615385,1,1,1,1,0.0153846153846154,1.6,0,0,0.0565217391304348,0.00548164705024351,1677720700.50048,0,1,0.0825577239522241,0.190058479532164,0.0473843228462479
