"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Burmeistera cylindrocarpa",1,0.0555555555555556,0.0303030303030303,-0.96969696969697,0.766666666666667,1,1,1,1,1.60714285714286,0,0,0.0331257078142695,0.00542935330520092,1677720700.50048,0,1,0.0964912280701754,0.0979579902840759,0.222965454623361
"Columnea ciliata",1,0.0555555555555556,0.0111111111111111,-0.988888888888889,0.8,1,1,1,1,1.71428571428571,0,0,0.0305775764439411,0.00498740564479158,1677720700.50048,0,1,0.263157894736842,0.0979579902840759,0
"Columnea picta",1,0.0555555555555556,0.0285714285714286,-0.971428571428571,0.833333333333333,1,1,1,1,1.67857142857143,0,0,0.0314269535673839,0.00505376445896535,1677720700.50048,0,1,0.10233918128655,0.0979579902840759,0.20988923488658
"Guzmania squarrosa",1,0.0555555555555556,0.1,-0.9,0.866666666666667,1,1,1,1,2.03571428571429,0,0,0.0263306908267271,0.00507800325933622,1677720700.50048,0,1,0.0292397660818713,0.0979579902840759,0.488292780875542
"Heppiella ulmifolia",1,0.0555555555555556,0.024390243902439,-0.975609756097561,0.9,1,1,1,1,1.92857142857143,0,0,0.0266138165345413,0.00497791100076005,1677720700.50048,0,1,0.119883040935673,0.0979579902840759,0.174726857629125
"Macleania macrantha",1,0.0555555555555556,0.024390243902439,-0.975609756097561,0.933333333333333,1,1,1,1,1.92857142857143,0,0,0.0266138165345413,0.00497791100076005,1677720700.50048,0,1,0.119883040935673,0.0979579902840759,0.174726857629125
"Macleania recumbens",1,0.0555555555555556,1,0,0.966666666666667,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.00292397660818713,0.0979579902840759,1
"Palicourea sodiroi",1,0.0555555555555556,0.0111111111111111,-0.988888888888889,1,1,1,1,1,1.71428571428571,0,0,0.0305775764439411,0.00498740564479158,1677720700.50048,0,1,0.263157894736842,0.0979579902840759,0
"Drymonia teuscheri",2,0.111111111111111,0.0414141414141414,-0.479292929292929,0.533333333333333,0.941176470588235,0.685994340570035,0.941176470588235,1,1.39285714285714,0.0537474120082816,0,0.0382219705549264,0.00829300638130889,2941562359.8741,0.693147180559945,2,0.359649122807018,0.195915980568152,0.0264281525183558
"Psammisia aberrans",2,0.111111111111111,0.0606060606060606,-0.46969696969697,0.566666666666667,0.941176470588235,0.685994340570035,0.941176470588235,1,1.39285714285714,0.0292910471171341,0,0.0382219705549264,0.00948203621658725,2941562359.8741,0.693147180559945,2,0.192982456140351,0.195915980568152,0.148582721852427
"Centropogon solanifolius",1,0.0555555555555556,0.0909090909090909,-0.909090909090909,0.633333333333333,1,1,1,1,1.67857142857143,0,0,0.0319932049830125,0.0138655619441774,0.525261466517939,0,1,0.0964912280701754,0.0979579902840759,0.388745774476245
"Columnea medicinalis",1,0.0555555555555556,0.0909090909090909,-0.909090909090909,0.666666666666667,1,1,1,1,1.67857142857143,0,0,0.0319932049830125,0.0138655619441774,0.525261466517939,0,1,0.0964912280701754,0.0979579902840759,0.388745774476245
"Glossoloma oblongicalyx",2,0.111111111111111,0.116161616161616,-0.441919191919192,0.466666666666667,0.970588235294118,0.727606875108999,0.941176470588235,1,1.5,0.0192565405608884,0,0.035673839184598,0.0120909226843444,2.62230229845195,0.636514168294813,1.88988157484231,0.149122807017544,0.185129000946457,0.277994085583057
"Mezobromelia capituligera",2,0.111111111111111,0.160606060606061,-0.41969696969697,0.5,0.970588235294118,0.727606875108999,0.941176470588235,1,1.5,0.0192028985507246,0,0.035673839184598,0.0103135442272768,2.62230229845195,0.636514168294813,1.88988157484231,0.125730994152047,0.185129000946457,0.32793886934178
"Palicourea acetosoides",1,0.0555555555555556,1,0,0.7,1,1,1,1,NA,0,0,0,NA,0.525261466517939,0,1,0.0087719298245614,0.0979579902840759,1
"Salvia quitensis",1,0.0555555555555556,0.333333333333333,-0.666666666666667,0.733333333333333,1,1,1,1,2,0,0,0.0254813137032843,0.00906940777036597,0.525261466517939,0,1,0.0263157894736842,0.0979579902840759,0.719949652814895
"Macleania bullata",2,0.111111111111111,0.190909090909091,-0.404545454545455,0.433333333333333,0.980392156862745,0.776492869555534,0.941176470588235,1,1.5,0.0192028985507246,0.00105820105820106,0.035673839184598,0.0134599579088917,1.59181590415142,0.562335144618808,1.75476535060332,0.125730994152047,0.171893287165233,0.379129465026949
"Stromanthe stromanthoides",1,0.0555555555555556,0.444444444444444,-0.555555555555556,0.6,1,1,1,1,2,0,0,0.0254813137032843,0.0103406068425812,0.427945957592403,0,1,0.0263157894736842,0.0979579902840759,0.787924046453139
"Tillandsia complanata",4,0.222222222222222,0.125541125541126,-0.218614718614719,0.233333333333333,0.823529411764706,0.453742606486515,0.823529411764706,1,1.32142857142857,0.0384732417341113,0,0.039920724801812,0.0125109559754876,6710885302.00018,1.38629436111989,4,0.501461988304094,0.391831961136304,0.0557730130345964
"Palicourea demissa",4,0.222222222222222,0.20966810966811,-0.197582972582973,0.2,0.911764705882353,0.487490573061192,0.823529411764706,1,1.28571428571429,0.128535353535354,0.0349206349206349,0.0407701019252548,0.013135262306925,9.28414131051468,1.33217904021012,3.789291416276,0.425146198830409,0.371191371739096,0.15292229704259
"Columnea mastersonii",2,0.111111111111111,0.465909090909091,-0.267045454545455,0.4,0.941176470588235,0.685994340570035,0.941176470588235,1,1.67857142857143,0,0,0.0319932049830125,0.0173616292887564,1.0505229538638,0.693147180559945,2,0.119883040935673,0.195915980568152,0.545220494314551
"Gasteranthus quitensis",5,0.277777777777778,0.3002886002886,-0.13994227994228,0.133333333333333,0.882352941176471,0.420084025208403,0.764705882352941,1,1.17857142857143,0.188990840077797,0.0708994708994709,0.0433182332955832,0.0145126843736686,14.1163762322216,1.56071040904141,4.7622031559046,0.362573099415205,0.466495850476898,0.212418532646698
"Guzmania jaramilloi",2,0.111111111111111,0.233766233766234,-0.383116883116883,0.366666666666667,0.964705882352941,0.709701677177274,0.941176470588235,1,1.46428571428571,0.0113561076604555,0.00105820105820106,0.0365232163080408,0.0186677720212313,0.855931944224533,0.661563238157982,1.93781924087838,0.198830409356725,0.18982487837026,0.401836524741476
"Macleania stricta",4,0.222222222222222,0.581096681096681,-0.10472582972583,0.166666666666667,0.926470588235294,0.542326144546641,0.823529411764706,1,1.39285714285714,0.0357867494824017,0.0518518518518519,0.0382219705549264,0.0174643569912586,2.75920174118743,1.21488965394912,3.36992218619932,0.280701754385965,0.330110804773805,0.460733350215584
"Guzmania amplectens",3,0.166666666666667,0.681818181818182,-0.106060606060606,0.266666666666667,0.941176470588235,0.621194295644428,0.882352941176471,1,1.39285714285714,0.0292910471171341,0.0465608465608466,0.0382219705549264,0.0216765643928305,1.45308990103431,0.943348392329039,2.56856760741556,0.216374269005848,0.251611720731205,0.53150872547736
"Heliconia griggsiana",2,0.111111111111111,0.488636363636364,-0.255681818181818,0.333333333333333,0.995098039215686,0.92175621959798,0.941176470588235,1,1.67857142857143,0,0.0306878306878307,0.0319932049830125,0.0318647144759668,0.660098715569056,0.271189373041844,1.31152341404742,0.119883040935673,0.128474197850595,0.648067520276674
"Bomarea pardina",2,0.111111111111111,0.484848484848485,-0.257575757575758,0.3,0.980392156862745,0.776492869555534,0.941176470588235,1,1.39285714285714,0.0292910471171341,0.0684303350970017,0.0382219705549264,0.0315711853413484,0.603340519575995,0.562335144618808,1.75476535060332,0.192982456140351,0.171893287165233,0.561267445562778
"Psammisia sodiroi",6,0.333333333333333,1.66190476190476,0.11031746031746,0.1,0.852941176470588,0.411421568567854,0.705882352941177,1,1.42857142857143,0.038483593700985,0,0.0373725934314836,0.0208619269669964,2.80621793483194,1.62127952027114,5.05955998620987,0.293233082706767,0.495624327970846,0.517634934492844
"Sarcopera anomala",7,0.388888888888889,3.94960032793605,0.421371475419436,0.0666666666666667,0.93921568627451,0.576080211272924,0.647058823529412,1,1.5,0.0418238283455675,0,0.035673839184598,0.0237947022341385,2.04045252711781,1.23539228113484,3.43972759632438,0.475553638193845,0.336948802460612,0.532538246989496
"Meriania tomentosa",8,0.444444444444444,3.4564072783585,0.307050909794812,0.0333333333333333,0.955484896661367,0.569964062349851,0.588235294117647,1,1.35714285714286,0.0950053328314198,0.225396825396825,0.0390713476783692,0.0247435321497972,2.39811183412193,1.41823023720145,4.12980519343827,0.394107062528115,0.404547417013952,0.627854601299821
"Besleria solanoides",9,0.5,1.60134466203333,0.0668160735592586,0,0.981677917068467,0.754666852871868,0.529411764705882,1,1.10714285714286,0.222262061609888,0.469135802469136,0.0450169875424688,0.025414392124311,2.60316714688526,0.9732460981154,2.64652139915488,0.496929824561403,0.259247917505012,0.434184355273891
