"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d"
"Tawny-bellied Hermit",7,0.304347826086957,3.78525641025641,0.397893772893773,0.0625,0.878787878787879,0.727272727272727,0.380300012060943,0.54516317016317,1.5,0.13936170212766,0.267111853088481,0.0785536159600998,0.0346657297550517,3.54407550883696,1.79865220625213,6.04149927965329,0.364287722325832,0.399621212121212,0.54017702732227
"Violet-tailed Sylph",10,0.434782608695652,3.00119047619048,0.200119047619048,0,0.945454545454545,0.590909090909091,0.457634134163214,0.437554112554113,1.42857142857143,0.326241134751773,0.243739565943239,0.084788029925187,0.0336958615737579,7.07625333874198,1.85537272548104,6.39408104346222,0.38554754571175,0.483585858585859,0.421044301278458
"White-whiskered Hermit",4,0.173913043478261,1.84786324786325,0.211965811965812,0.1875,0.95959595959596,0.863636363636364,0.596730106291479,0.571091000502765,1.42857142857143,0.241489361702128,0.153589315525876,0.0822942643391521,0.0374745576190801,1.64909827783131,1.11506598409643,3.04976940882239,0.183893682699018,0.284313725490196,0.646185738614702
"Booted Racketail",4,0.173913043478261,2.61666666666667,0.404166666666667,0.25,0.96969696969697,0.863636363636364,0.629253204965693,0.592222222222222,1.64285714285714,0.0776595744680851,0,0.071072319201995,0.038498094104229,1.78478252220718,1.0775733728922,2.93754257473542,0.177126677377827,0.194444444444444,0.713726644266135
"Stripe-throated Hermit",3,0.130434782608696,1.33076923076923,0.11025641025641,0.375,0.954545454545455,0.909090909090909,0.588719720317664,0.482692307692308,1.85714285714286,0.0836879432624114,0.190317195325543,0.0648379052369077,0.0363248468371518,1.28387261751219,1.03972077083992,2.82842712474619,0.17054728095532,0.201388888888889,0.634088597753399
"Gorgeted Sunangel",4,0.173913043478261,1.96507936507936,0.241269841269841,0.3125,0.920454545454545,0.863636363636364,0.50690202397341,0.53015873015873,1.85714285714286,0.0269503546099291,0.00834724540901502,0.0698254364089776,0.0300295378900504,2.2612632119324,1.2945451658449,3.6493357540631,0.220046076033988,0.229166666666667,0.612014097466077
"Brown Inca",7,0.304347826086957,2.47777777777778,0.211111111111111,0.125,0.840909090909091,0.727272727272727,0.349763428145066,0.411111111111111,1.64285714285714,0.0329787234042553,0.0233722871452421,0.0735660847880299,0.0273367291120536,14.486496923443,1.88915916375402,6.61380521524019,0.398796379216787,0.298611111111111,0.478118591511948
"Green-crowned Woodnymph",2,0.0869565217391304,0.45,-0.275,0.4375,0.981818181818182,0.954545454545455,0.757155108942774,0.235714285714286,1.92857142857143,0.0716312056737589,0.113522537562604,0.0685785536159601,0.0319285755772949,0.935412999044635,0.598269588585257,1.81896851165317,0.109679380137337,0.208333333333333,0.425539661795861
"Speckled Hummingbird",2,0.0869565217391304,0.533333333333333,-0.233333333333333,0.5,0.992424242424242,0.954545454545455,0.862537138562095,0.314285714285714,1.92857142857143,0,0,0.0660847880299252,0.0313028764805414,0.935412999044635,0.410116318288409,1.50699306577254,0.090868019026331,0.159722222222222,0.535856943975481
"Buff-tailed Coronet",1,0.0434782608695652,0.714285714285714,-0.285714285714286,0.6875,1,1,1,0.714285714285714,2.28571428571429,0,0,0.0529925187032419,0.0284821838314755,0.375882883682592,0,1,0.0602975694382169,0.0486111111111111,0.875622288631197
"Collared Inca",2,0.0869565217391304,0.711111111111111,-0.144444444444444,0.5625,0.96969696969697,0.954545454545455,0.705819961592061,0.404444444444444,1.92857142857143,0,0,0.0660847880299252,0.0256600049346163,1.23549253245909,0.673011667009257,1.96013170420779,0.11819117754252,0.159722222222222,0.561819719828902
"Crowned Woodnymph",2,0.0869565217391304,0.65,-0.175,0.625,0.984848484848485,0.954545454545455,0.779714399927657,0.2375,2.07142857142857,0,0,0.0610972568578554,0.0256995926000134,1.59181590415142,0.562335144618808,1.75476535060332,0.105808085575781,0.152777777777778,0.431155495516546
"Booted Racket-tail",1,0.0434782608695652,0.2,-0.8,0.75,1,1,1,0.2,2.5,0,0,0.0498753117206983,0.0187928247354207,0.795926633452104,0,1,0.0602975694382169,0.0694444444444444,0.453139834486553
"Green-crowned Brilliant",1,0.0434782608695652,0.666666666666667,-0.333333333333333,0.8125,1,1,1,0.666666666666667,2.35714285714286,0,0,0.0492518703241895,0.018110110223176,0.795926633452104,0,1,0.0602975694382169,0.0208333333333333,0.862229717333667
"Green-fronted Lancebill",1,0.0434782608695652,1,0,0.875,1,1,1,1,NA,0,0,0,NA,0.795926633452104,0,1,0.0602975694382169,0.0138888888888889,1
"Fawn-breasted Brilliant",1,0.0434782608695652,1,0,0.9375,1,1,1,1,NA,0,0,0,NA,1677720700.50048,0,1,0.0602975694382169,0.00694444444444444,1
"Rufous-tailed Hummingbird",1,0.0434782608695652,0.05,-0.95,1,1,1,1,0.05,2.07142857142857,0,0,0.0610972568578554,0.0126589357677441,1677720700.50048,0,1,0.0602975694382169,0.138888888888889,0
