"","Violet-tailed Sylph","Tawny-bellied Hermit","Brown Inca","Booted Racketail","Speckled Hummingbird","Stripe-throated Hermit","Booted Racket-tail","Collared Inca","Buff-tailed Coronet","Gorgeted Sunangel","Crowned Woodnymph","Green-fronted Lancebill","White-whiskered Hermit","Green-crowned Woodnymph","Fawn-breasted Brilliant","Wedge-billed Hummingbird","Green-crowned Brilliant","Purple-bibbed Whitetip","Hoary Puffleg"
"Calathea ischnosiphonoides",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea mastersonii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faramea calyptrata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma tetragonoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Justicia secunda",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania bullata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania stricta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia ulbrichiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burmeistera multiflora",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea medicinalis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasteranthus pansamalanus",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania amplectens",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitcairnia nigra",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Pitcairnia squarrosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psammisia aberrans",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wercklea ferox",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea picta",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia quitensis",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Sarcopera anomala",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Besleria solanoides",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kohleria affinis",6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,1,3,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0
"Bomarea pardina",0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
"Glossoloma purpureum",0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0
"Heliconia griggsiana",0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,0
"Guzmania jaramilloi",12,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",1,8,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
"Renealmia sessilifolia",2,0,2,0,4,1,6,0,0,2,0,0,0,1,0,0,0,0,0
"Fuchsia macrostigma",9,4,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0
"Palicourea lineata",0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Drymonia tenuis",11,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"Meriania tomentosa",1,0,1,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0
"Columnea strigosa",6,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea acetosoides",27,0,1,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0
"Palicourea demissa",1,0,0,24,0,2,16,0,0,1,12,0,1,4,0,0,0,2,0
"Mezobromelia capituligera",37,0,35,1,0,0,0,7,0,3,0,1,0,0,3,0,1,0,0
