"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Calathea ischnosiphonoides",1,0.0526315789473684,0.0294117647058824,-0.970588235294118,0.794871794871795,1,1,1,1,1.97435897435897,0,0,0.0189349112426035,0.00351672973603729,1677720700.50048,0,1,0.0693877551020408,0.0878110897222464,0.274383405941501
"Columnea mastersonii",1,0.0526315789473684,0.0158730158730159,-0.984126984126984,0.82051282051282,1,1,1,1,1.79487179487179,0,0,0.0217455621301775,0.00341525516654961,1677720700.50048,0,1,0.128571428571429,0.0878110897222464,0.147470235132311
"Faramea calyptrata",1,0.0526315789473684,0.04,-0.96,0.846153846153846,1,1,1,1,1.92307692307692,0,0,0.0198224852071006,0.00351416516478848,1677720700.50048,0,1,0.0510204081632653,0.0878110897222464,0.337654304931757
"Glossoloma tetragonoides",1,0.0526315789473684,0.00775193798449612,-0.992248062015504,0.871794871794872,1,1,1,1,1.53846153846154,0,0,0.0252958579881657,0.00355266538025708,1677720700.50048,0,1,0.263265306122449,0.0878110897222464,0
"Guzmania squarrosa",1,0.0526315789473684,0.0714285714285714,-0.928571428571429,0.897435897435897,1,1,1,1,1.94871794871795,0,0,0.0193786982248521,0.00354909661614227,1677720700.50048,0,1,0.0285714285714286,0.0878110897222464,0.45696312737366
"Justicia secunda",1,0.0526315789473684,0.0344827586206897,-0.96551724137931,0.923076923076923,1,1,1,1,1.79487179487179,0,0,0.0211538461538462,0.00348095270004925,1677720700.50048,0,1,0.0591836734693878,0.0878110897222464,0.307114030376084
"Macleania bullata",1,0.0526315789473684,0.0163934426229508,-0.983606557377049,0.948717948717949,1,1,1,1,1.66666666666667,0,0,0.0230769230769231,0.00352268714938794,1677720700.50048,0,1,0.124489795918367,0.0878110897222464,0.154108528863417
"Macleania stricta",1,0.0526315789473684,0.00775193798449612,-0.992248062015504,0.974358974358974,1,1,1,1,1.53846153846154,0,0,0.0252958579881657,0.00355266538025708,1677720700.50048,0,1,0.263265306122449,0.0878110897222464,0
"Psammisia ulbrichiana",1,0.0526315789473684,0.0163934426229508,-0.983606557377049,1,1,1,1,1,1.66666666666667,0,0,0.0230769230769231,0.00352268714938794,1677720700.50048,0,1,0.124489795918367,0.0878110897222464,0.154108528863417
"Burmeistera multiflora",1,0.0526315789473684,0.0155038759689922,-0.984496124031008,0.641025641025641,1,1,1,1,1.53846153846154,0,0,0.0252958579881657,0.00680396517035438,0.795926633452104,0,1,0.263265306122449,0.0878110897222464,0.0743774981041935
"Columnea medicinalis",1,0.0526315789473684,0.0317460317460317,-0.968253968253968,0.666666666666667,1,1,1,1,1.79487179487179,0,0,0.0217455621301775,0.00631719087655362,0.795926633452104,0,1,0.128571428571429,0.0878110897222464,0.233587069717035
"Gasteranthus pansamalanus",1,0.0526315789473684,0.0317460317460317,-0.968253968253968,0.692307692307692,1,1,1,1,1.79487179487179,0,0,0.0217455621301775,0.00631719087655362,0.795926633452104,0,1,0.128571428571429,0.0878110897222464,0.233587069717035
"Guzmania amplectens",1,0.0526315789473684,0.0327868852459016,-0.967213114754098,0.717948717948718,1,1,1,1,1.66666666666667,0,0,0.0230769230769231,0.00669485113260779,0.795926633452104,0,1,0.124489795918367,0.0878110897222464,0.240753803398725
"Pitcairnia nigra",2,0.105263157894737,0.625,-0.1875,0.538461538461538,0.944444444444444,0.687184270936277,0.944444444444444,1,1.8974358974359,0,0,0.0190828402366864,0.00353034603049401,2941562359.8741,0.693147180559945,2,0.0204081632653061,0.175622179444493,0.692035432178771
"Pitcairnia squarrosa",2,0.105263157894737,0.174418604651163,-0.412790697674419,0.564102564102564,0.944444444444444,0.687184270936277,0.944444444444444,1,1.51282051282051,0.00194512694512694,0,0.0257396449704142,0.00660624675559401,2941562359.8741,0.693147180559945,2,0.275510204081633,0.175622179444493,0.261178392254621
"Psammisia aberrans",1,0.0526315789473684,0.0327868852459016,-0.967213114754098,0.743589743589744,1,1,1,1,1.66666666666667,0,0,0.0230769230769231,0.00669485113260779,0.795926633452104,0,1,0.124489795918367,0.0878110897222464,0.240753803398725
"Wercklea ferox",1,0.0526315789473684,0.0317460317460317,-0.968253968253968,0.769230769230769,1,1,1,1,1.79487179487179,0,0,0.0217455621301775,0.00631719087655362,0.795926633452104,0,1,0.128571428571429,0.0878110897222464,0.233587069717035
"Columnea picta",1,0.0526315789473684,0.103448275862069,-0.896551724137931,0.58974358974359,1,1,1,1,1.79487179487179,0,0,0.0211538461538462,0.00926468370129311,0.525261466517939,0,1,0.0591836734693878,0.0878110897222464,0.481001713643322
"Salvia quitensis",3,0.157894736842105,0.202314926452857,-0.265895024515714,0.41025641025641,0.888888888888889,0.544331053951817,0.888888888888889,1,1.79487179487179,0,0,0.0211538461538462,0.00877437209393961,419430397.854167,1.09861228866811,3,0.108163265306122,0.263433269166739,0.364781594664961
"Sarcopera anomala",1,0.0526315789473684,0.0882352941176471,-0.911764705882353,0.615384615384615,1,1,1,1,1.97435897435897,0,0,0.0189349112426035,0.00952252346262675,0.525261466517939,0,1,0.0693877551020408,0.0878110897222464,0.444613075726602
