"","HummingbirdNetwork","HummingbirdNetwork.1"
"connectance",0.172510518934081,0.172510518934081
"web asymmetry",-0.148148148148148,-0.148148148148148
"links per species",2.27777777777778,2.27777777777778
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.129032258064516,0.129032258064516
"nestedness",18.853768703026,18.9000362759569
"weighted nestedness",0.519632707390504,0.520108469869045
"weighted NODF",17.2725865901353,17.2725865901353
"interaction strength asymmetry",-0.0518302448748739,-0.0518302448748739
"specialisation asymmetry",0.0444617037018014,0.0444617037018014
"linkage density",5.64855432595151,5.64855432595151
"weighted connectance",0.104602857887991,0.104602857887991
"Fisher alpha",46.1131028386086,46.1131028386086
"Shannon diversity",4.31534865102648,4.31534865102648
"interaction evenness",0.656878127034011,0.656878127034011
"Alatalo interaction evenness",0.713930951027346,0.713930951027346
"H2",0.492670931777008,0.492670931777008
"number.of.species.HL",23,31
"mean.number.of.shared.partners.HL",1.29644268774704,1.11827956989247
"cluster.coefficient.HL",0.298882973170477,0.323272829604615
"weighted.cluster.coefficient.HL",0.577461651688875,0.599042194451529
"niche.overlap.HL",0.286703449046652,0.181247236512339
"togetherness.HL",0.104552388877332,0.124323884001303
"C.score.HL",0.456342409590284,0.533660967678045
"V.ratio.HL",5.66829268292683,3.40377358490566
"discrepancy.HL",54,55
"extinction.slope.HL",3.64487442489315,3.23469014828567
"robustness.HL",0.770345160387511,0.756219463619761
"functional.complementarity.HL",325.157034167033,375.544644443423
"partner.diversity.HL",1.64385728406152,1.38645127011761
"generality.HL",6.23605467296481,5.06105397893821
