"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Burmeistera cylindrocarpa",1,0.0588235294117647,0.0714285714285714,-0.928571428571429,0.730769230769231,1,1,1,1,2.4,0,0,0.0298821548821549,0.0104889069123212,1677720700.50048,0,1,0.106870229007634,0.08394250098221,0.146224172124194
"Columnea strigosa",1,0.0588235294117647,0.05,-0.95,0.769230769230769,1,1,1,1,1.92,0,0,0.0374579124579125,0.0116545062590344,1677720700.50048,0,1,0.152671755725191,0.08394250098221,0.0308343160090777
"Drymonia collegarum",1,0.0588235294117647,0.166666666666667,-0.833333333333333,0.807692307692308,1,1,1,1,2.24,0,0,0.0324074074074074,0.0101995730156357,1677720700.50048,0,1,0.0458015267175573,0.08394250098221,0.420338123379261
"Heliconia impudica",1,0.0588235294117647,0.166666666666667,-0.833333333333333,0.846153846153846,1,1,1,1,2.24,0,0,0.0324074074074074,0.0101995730156357,1677720700.50048,0,1,0.0458015267175573,0.08394250098221,0.420338123379261
"Mezobromelia capituligera",1,0.0588235294117647,0.166666666666667,-0.833333333333333,0.884615384615385,1,1,1,1,2.24,0,0,0.0324074074074074,0.0101995730156357,1677720700.50048,0,1,0.0458015267175573,0.08394250098221,0.420338123379261
"Pitcairnia sodiroi",1,0.0588235294117647,0.05,-0.95,0.923076923076923,1,1,1,1,1.92,0,0,0.0374579124579125,0.0116545062590344,1677720700.50048,0,1,0.152671755725191,0.08394250098221,0.0308343160090777
"Psammisia sodiroi",1,0.0588235294117647,0.333333333333333,-0.666666666666667,0.961538461538462,1,1,1,1,2.44,0,0,0.0277777777777778,0.0110335813116596,1677720700.50048,0,1,0.0229007633587786,0.08394250098221,0.644581947596836
"Salvia quitensis",1,0.0588235294117647,0.111111111111111,-0.888888888888889,1,1,1,1,1,2.08,0,0,0.0332491582491582,0.0113481453536659,1677720700.50048,0,1,0.0687022900763359,0.08394250098221,0.289163895193673
"Bomarea multiflora",1,0.0588235294117647,1,0,0.615384615384615,1,1,1,1,NA,0,0,0,NA,0.795926633452104,0,1,0.0152671755725191,0.08394250098221,1
"Columnea ciliata",2,0.117647058823529,0.222222222222222,-0.388888888888889,0.307692307692308,0.9375,0.684653196881458,0.9375,1,2.04,0.00116550116550117,0,0.0345117845117845,0.0186242622509641,2941562359.8741,0.693147180559945,2,0.137404580152672,0.16788500196442,0.278033219260991
