Filming Date,#Camera,Hike,GPS-ID,Elevation,Plant Family,Plant Genus,Plant Species,Flower Height,#Flowers,Memory Card,Outside Pic,Inside Pic,Video stored,Comment,Frames Found,Frames with Hummingbirds,Hummingbirds,Comment,
22/10/13,6,Main Trail,FH601HR,1954,Rubiaceae,Palicourea,acetosoides,2,3,6,FH601HR_OUT,FH601HR_IN,100.00%,Camera seems to have slid down a little – flower is on the top right corner,,,,,
22/10/13,7,Main Trail,FH701HR,2116,Gesneriaceae,Gasteranthus,lateralis,0.2,2,7,FH701HR_OUT,FH701HR_IN,100.00%,,,,,,
22/10/13,3,Main Trail,FH301,2118,Ericaceae,Macleania,stricta,2,2,3,FH301_OUT,FH301_IN,100.00%,Not sure what happened here – flower appears at ~11mins on the upper left corner and disappears in the afternoon,,,,,
22/10/13,2,Main Trail,FH201,2262,Gesneriaceae,Hepiella,ulmifolia,1,1,2,FH201_OUT,FH201_IN,100.00%,Camera produced three files,,,,,
22/10/13,4,Main Trail,FH401,2269,Campanulaceae,Centropogon,nigricans,1,2,4,FH401_OUT,FH401_IN,100.00%,,,,,,
22/10/13,1,Main Trail,FH101,2294,Ericaceae,Psamisia,sodiroi,2.5,4,1,FH101_OUT,FH101_IN,100.00%,,,,,,
22/10/13,8,Self-Guided,FH801,1867,Campanulaceae,Centropogon,solanifolius,1,1,8,FH801_OUT,FH801_IN,100.00%,"The camera produced three files, the first one was unreadable first – a disk check seems to have fixed the problem",,,,,
22/10/13,5,Self-Guided,FH501,1806,Gesneriaceae,Besleria,solanoides,2,10,5,N/A,FH501_IN,100.00%,Camera equipped with zoom lens,,,,,
06/11/13,7,Main Trail,FH702,2237,Begoniaceae,Begonia,longirostris,0.7,1,7,FH702_OUT,FH702_IN,100.00%,,,,,,
06/11/13,6,Main Trail,FH602,2308,Ericaceae,Macleania,bulata,3,2,6,FH602_OUT,FH602_IN,100.00%,,,,,,
06/11/13,4,Main Trail,FH402,2483,Ericaceae,Psamisia,sodiroi,1,3,4,FH402_OUT,FH402_IN,100.00%,,,,,,
06/11/13,1,Main Trail,FH102,2456,Melastomataceae,Meriania,tomentosa,3,1,1,FH102_OUT,FH102_IN,100.00%,At exactly 9:00 visited by female Sylph. YAY! :),,,,,
06/11/13,3,Main Trail,FH302,2453,Zingiberaceae,Renealmia,Sp 1,0.5,3,3,FH302_OUT,FH302_IN,100.00%,,,,,,
06/11/13,2,Main Trail,FH202,2380,Gesneriaceae,Hepiella,ulmifolia,1.5,1,2,N/A,FH202_IN,100.00%,,,,,,
06/11/13,5,Main Trail,FH502,2338,Ericaceae,Psamisia,sodiroi,3,5,5,FH502_OUT,FH502_IN,100.00%,Camera equipped with zoom lens,,,,,
06/11/13,8,Main Trail,FH802,2121,Bromeliaceae,Guzmania,jaramilloi,0.75,3,8,FH802_OUT,FH802_IN,100.00%,,,,,,
08/11/13,6,Main Trail,FH603,1920,Gesneriaceae,Besleria,solanoides,2,4,8,FH603_OUT,FH603_IN,100.00%,Camera equipped with zoom lens,,,,,
08/11/13,5,Main Trail,FH503,1884,Bromeliaceae,Guzmania,amplectans,1,1,6,FH503_OUT,FH503_IN,100.00%,Flower must have fallen the very day I installed the camera as it's still there in the outside picture – might still be worth checking whether hummingbirds fall for the bracts,,,,,
19/11/13,2,Lek,FH203,1764,Campanulaceae,Burmeistra,,2,1,2,FH203_OUT,,0.00%,"Nothing was recorded, camera was turned on, but complained about low battery when I took it down. All cameras had more than 50% charge when I set them up.",,,,,
19/11/13,6,Lek,FH604,1741,Rubiaceae,Palicourea,acetosoides,2,5,6,FH604_OUT,FH604_IN,100.00%,,,,,,
19/11/13,7,Lek,FH703,1818,Gesneriaceae,Gasteranthus,quitensis,0.2,5,7,FH703_OUT,FH703_IN,100.00%,,,,,,
19/11/13,1,Lek,FH103,1888,Gesneriaceae,Besleria,solanoides,2,8,1,FH103_OUT,FH103_IN,100.00%,,,,,,
19/11/13,4,Main Trail,FH403,2086,Gesneriaceae,Gasteranthus,lateralis,0.5,2,4,FH403_OUT,FH403_IN,100.00%,,,,,,
19/11/13,5,Main Trail,FH504,2085,Gesneriaceae,Columnea,picta,3,1,5,N/A,FH504_IN,100.00%,Darn! Flower must have fallen during the night before the filming. Camera equipped with zoom lens.,,,,,
19/11/13,3,Main Trail,FH303,1936,Alstroemeriaceae,Bomarea,pardina,0.5,30,3,FH303_OUT,FH303_IN,100.00%,,,,,,
19/11/13,6,Main Trail,FH603,1900,Bromeliaceae,Guzmania,amplectans,3,2,6,FH803_OUT,FH803_IN,100.00%,Camera produced three files,,,,,
04/12/13,4,Main Trail,FH404,1964,Onagraceae,Fuchsia,macrostigma,1,1,4,FH404_OUT,FH404_IN,100.00%,"Yeah, White-whiskered Hermit at 12:48",,,,,
04/12/13,1,Main Trail,FH104,1955,Bromeliaceae,Guzmania,amplectans,2,3,1,FH104_OUT,FH104_IN,100.00%,"OF COURSE the flower closest to the camera fell off, but there are still flowers around. Violet-tailed Sylph at 6:04. :)",,,,,
04/12/13,7,Main Trail,FH704,1940,Gesneriaceae,Alloplectus,tetragonoides,2,2,7,FH704_OUT,FH704_IN,100.00%,,,,,,
04/12/13,6,Main Trail,FH605,1929,Onagraceae,Fuchsia,macrostigma,0.5,1,6,FH605_OUT,FH605_IN,100.00%,Flower must have fallen off during the night. Other flower didn't open unforuantely until the 6.12. ,,,,,
04/12/13,2,Main Trail,FH204,1907,Campanulaceae,Centropogon,solanifolius,2,1,2,FH204_OUT,FH204_IN,100.00%,,,,,,
04/12/13,3,Main Trail,FH304,2023,Gesneriaceae,Alloplectus,purpureus,0.3,1,3,FH304_OUT,FH304_IN,100.00%,Sylph!,,,,,
04/12/13,5,Main Trail,FH505,1908,Rubiaceae,Palicourea,acetosoides,2,6,5,FH505_OUT,FH505_IN,100.00%,"The zoom lens doesnt seem to have been the best choice here, the flower appears very low in the picture.",,,,,
