"","Hummingbird","Low","m","High","Index"
"1","White-whiskered Hermit",1340,1396.96855345912,1604.6,1
"2","Andean Emerald",1370.4,1397,1570,1
"3","Stripe-throated Hermit",1351.8,1397.32444444444,1484,1
"4","Rufous-tailed Hummingbird",1368.5,1430.63636363636,1690,1
"5","Crowned Woodnymph",1340,1453.625,2400,1
"6","Wedge-billed Hummingbird",1331,1627.73684210526,2047,3
"7","Purple-bibbed Whitetip",1370,1660.35714285714,2070.5,3
"8","Booted Racket-tail",1363.6,1763.1935483871,2200,3
"9","Sparkling Violetear",1623,1885.625,2000,3
"10","Green-crowned Brilliant",1374.8,1889.53846153846,2184,3
"11","Tawny-bellied Hermit",1373.6,1909.86097560976,2285.5,3
"12","Fawn-breasted Brilliant",1828.5,1915.52631578947,1990,2
"13","Brown Inca",1577,1949.68604651163,2291.5,3
"14","Violet-tailed Sylph",1740,2065.90476190476,2360,3
"15","Green-fronted Lancebill",1811.5,2102.40740740741,2320,2
"16","Buff-tailed Coronet",1951,2240.89430894309,2460,2
"17","Collared Inca",1850,2245.64814814815,2463,2
"18","Hoary Puffleg",2110,2290,2381.5,2
"19","Gorgeted Sunangel",1850,2304.92857142857,2470,2
"20","Speckled Hummingbird",2133,2346.32183908046,2474,2
