Species,Role
Adelomyia.melanogenys,Generalist
Aglaiocercus.coelestis,Territorial
Amazilia.tzacatl,Territorial
Amazilia.franciae,Generalist
Boissonneaua.flavescens,Territorial
Coeligena.wilsoni,Trapliner
Coeligena.torquata,Trapliner
Colibri.delphinae,Territorial
Colibri.thalassinus,UKWN
Colibri.coruscans,Territorial
Doryfera.ludovicae,Trapliner
Florisuga.mellivora,Territorial
Haplophaedia.lugens,UKWN
Heliangelus.strophianus,Territorial
Heliodoxa.jacula,Territorial
Heliodoxa.rubinoides,Territorial
Heliodoxa.imperatrix,UKWN
Metallura.tyrianthina,UKWN
Ocreatus.underwoodii,Generalist
Phaethornis.striigularis,Generalist
Phaethornis.yaruqui,Trapliner
Phaethornis.syrmatophorus,Trapliner
Schistes.geoffroyi,Generalist
Thalurania.fannyi,UKWN
Urosticte.benjamini,Generalist
