"MorphID","SpID","Sex","N","ExpC","Peso","Acom","TotC","AlCdo","PrfP","AlAnc","AlLgo","Rasp","Rform","WiLo","Wtap","AlArea","ColaL","PataE","TarsL","UnaL","PsoSD","ExpCSD","AcomSD","TotCSD","AlCdoSD","PrfPSD","AlAncSD","AlLgoSD","RaspSD","RformSD","WiLoSD","WtapSD","AlAreaSD","ColaLSD","PataESD","TarsLSD","UnaLSD","ReferenceID","LocalityID","MuseumID","Notes","Subspeciesname","spname"
1,2,"Macho",11,15.19,4.49,5.09,17.16,57.48,1.86,23.22,63.72,7.14,2.74,0.19,0.3,11.37,38.04,12.55,6.29,4.26,0.03,0.24,0.23,0.42,1.2,0.14,0.05,1.33,0.14,0.05,0.01,0.03,0.33,1.71,0.3,0.27,0.14,183,1482,1,"",NA,"Adelomyia.melanogenys"
2,2,"Macho",21,14.89,3.99,5.06,16.95,54.26,1.88,21.75,60.45,6.96,2.78,0.19,0.25,10.5,36.84,11.95,5.9,3.96,0.27,0.51,0.21,0.6,1.26,0.14,0.86,1.77,0.23,0.06,0.01,0.02,0.61,1.26,0.33,0.16,0.17,183,598,1,"",NA,"Adelomyia.melanogenys"
3,8,"Macho",13,16.24,6.07,6.04,18.87,68.68,2.16,25.52,76.81,7.71,3,0.19,0.28,15.31,92.56,14.07,6.43,4.22,0.23,0.54,0.27,0.97,1.88,0.16,0.67,2.35,0.32,0.08,0.01,0.03,0.73,25.7,0.36,0.2,0.18,183,598,1,"",NA,"Aglaiocercus.coelestis"
4,7,"Macho",12,15.76,5.53,5.58,18.6,67.11,1.88,23.3,72.93,7.77,3.12,0.2,0.24,13.68,112.56,13.27,6.18,3.9,0.26,0.84,0.16,0.73,2.39,0.11,0.67,2.65,0.29,0.06,0.00684174448621572,0.03,0.51,19.96,0.56,0.21,0.25,183,598,1,"",NA,"Aglaiocercus.kingi"
5,3,"Macho",17,18.71,8.43,5.78,21.97,85.62,1.95,31.78,95.35,7.79,2.99,0.18,0.29,23.37,48.92,15.06,7.2,4.47,0.34,0.69,0.32,1.12,1.69,0.19,0.56,2.52,0.42,0.06,0.00799002653808315,0.05,0.96,1.45,0.42,0.18,0.22,183,598,1,"",NA,"Aglaeactis.cupripennis"
6,28,"Macho",18,18.53,4.07,5.23,20.84,53.33,1.98,19.31,60.21,7.66,3.11,0.21,0.22,9.47,29.07,10.08,4.87,2.48,0.21,0.59,0.24,0.66,0.94,0.15,0.55,1.3,0.21,0.05,0.01,0.03,0.47,0.97,0.31,0.17,0.14,183,598,1,"",NA,"Amazilia.amazilia"
7,27,"Macho",1,18.7,4.75,5.9,20.5,52.7,2,19.8,62,7.69,3.13,0.23,0.22,9.99,29.4,10.2,5.1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,598,1,"",NA,"Amazilia.castaneiventris"
8,17,"Macho",18,17.76,4.94,5.16,20.03,54.5,2,19.25,60.5,7.73,3.14,0.26,0.22,9.47,30.41,10.3,5.19,2.68,0.23,0.69,0.21,0.87,1.09,0.18,0.54,1.1,0.19,0.09,0.01,0.03,0.34,1.25,0.36,0.2,0.12,183,598,1,"",NA,"Amazilia.cyanura"
9,33,"Macho",24,20.99,5.31,5.82,23.35,55.8,2.14,21.05,63.51,7.63,3.01,0.25,0.26,10.57,30.15,10.8,5.35,2.84,0.18,0.99,0.2,1.07,1.2,0.18,0.69,1.61,0.25,0.06,0.01,0.04,0.44,1.06,0.27,0.16,0.14,183,598,1,"",NA,"Amazilia.fimbriata"
10,33,"Macho",15,20.31,4.95,5.6,22.6,54.44,2.12,20.68,62.83,7.57,3.03,0.23,0.24,10.42,29.6,10.33,5.16,2.71,0.22,0.63,0.27,0.63,1.03,0.14,0.7,1.05,0.18,0.09,0.01,0.02,0.25,0.89,0.36,0.21,0.15,183,598,1,"",NA,"Amazilia.fimbriata"
