"","Iplant_Double","Low","m","High","Index"
"1","",1730,1950.89361702128,2140,2
"2"," ms1",2210,2292.60663507109,2370,2
"3"," ms3",2130,2230,2330,2
"4"," sp 1",1370,1536.08695652174,1656,1
"5"," sp 2",1740,1751.6,1792,2
"6"," sp 3",1732,1735,1738,2
"7"," sp 5",1816,1885,1954,2
"8"," sp 7",1970,1985,2000,2
"9"," sp 8",1940,1995,2030,2
"10","??? ???",1950,1950,1950,2
"11","Abutilon pictum",1410,1415,1420,1
"12","Alloplectus",1950,2114.16666666667,2340,2
"13","Alloplectus purpureus",1370,1495.87837837838,1630,1
"14","Alloplectus strigosus",2470,2470,2470,2
"15","Alloplectus tenuis",1750,1775,1950,2
"16","Alloplectus tetragonoides",1940,1976.02941176471,2010,2
"17","Alloplectus teuscheri",2150,2261.81141439206,2370,2
"18","Begonia",2130,2081.66666666667,2150,2
"19","Begonia longirostris",2132,2121.57024793388,2240,2
"20","Begonia tiliifolia",1950,2002.5,2170,2
"21","Besleria",1858,2004,2120,2
"22","Besleria anomala",1810,1810,1810,2
"23","Besleria quitensis",1786,1855,1924,2
"24","Besleria solanoides",1820,1984.88122962273,2130,2
"25","Blakea",1634,1672.89156626506,1660,1
"26","Blakea quadriflora",1608,1652.94339622642,1660,1
"27","Bomarea multiflora",2380,2374.375,2420,2
"28","Bomarea pardina",1950,2090.88888888889,2272,2
"29","Brugmansia",1738,1758,1764,2
"30","Brugmansia candida",1736,1740,1744,2
"31","Burmeistera",1750,1835.09090909091,1832,2
"32","Burmeistera crispiloba",1740,1982.91666666667,2454,2
"33","Burmeistera cylindrocarpa",2010,2093.82978723404,2130,2
"34","Burmeistera multiflora",1570,1602.31543624161,1650,1
"35","Calathea affinis",2120,2120,2120,2
"36","Calathea ischnosiphonoides",1904,2003.33333333333,2126,2
"37","Canna jaegeriana",1370,1371.81818181818,1370,1
"38","Capanea affinis",1960,2052.30769230769,2120,2
"39","Cavendishia grandifolia",1580,1580,1580,1
"40","Centropogon",2144,2180,2210,2
"41","Centropogon nigricans",2140,2247.35042735043,2450,2
"42","Centropogon solanifolius",1970,2088.9175257732,2230,2
"43","Clusia",1750,1750,1750,2
"44","Columnea",1980,2172.41935483871,2300,2
"45","Columnea affinis",1824,1935,2046,2
"46","Columnea ciliata",1370,1740.69981583794,2010,3
"47","Columnea cinerea",1370,1536.87022900763,1680,1
"48","Columnea katzensteiniae",1754,2088.57142857143,2374,2
"49","Columnea kucyniakii",1830,1905.65762004175,2000,2
"50","Columnea lanata",1690,1690,1690,1
"51","Columnea mastersonii",1370,1521.96078431373,1660,1
"52","Columnea medicinalis",1990,2088.33898305085,2210,2
"53","Columnea ovatifolia",2360,2385.45454545455,2410,2
"54","Columnea picta",1370,1501.02040816327,1650,1
"55","Columnea purpurata",1378,1476.66666666667,1558,1
"56","Columnea stricta",1380,1380,1380,1
"57","Columnea strigosa",2170,2298.8085106383,2410,2
"58","Costus",1362,1400,1430,1
"59","Diastema racemiferum",1730,1742.5,1752,2
"60","Drymonia",1370,1370,1370,1
"61","Drymonia brochidodroma",1750,1808.33333333333,1950,2
"62","Drymonia collegarum",1964,2064,2136,2
"63","Drymonia tenuis",1496,1685,1874,3
"64","Drymonia teuscheri",2152,2281.34615384615,2380,2
"65","Erythrina",1370,1518.18181818182,1730,3
"66","Erythrina edulis",1590,1590,1590,1
"67","Faramea",1760,1760,1760,2
"68","Faramea calyptrata",1750,1932.52595155709,2260,2
"69","Fuchsia macrostigma",1846,2116.32183908046,2300,2
"70","Gasteranthus",1596,1660,1734,3
"71","Gasteranthus lateralis",2160,2233.30708661417,2330,2
"72","Gasteranthus leopardus",2020,2020,2020,2
"73","Gasteranthus quitensis",1580,1711.67701863354,1820,3
"74","Glossoloma",1784,2080,2370,2
"75","Glossoloma oblongicalyx",2200,2294.5085995086,2410,2
"76","Glossoloma purpureum",1370,1415.38461538462,1380,1
"77","Gunnera",1722,1823.33333333333,1950,2
"78","Gurania",1370,1457.77777777778,1528,1
"79","Guzmania",1370,1632.54901960784,1940,3
"80","Guzmania amplectens",1750,1872.60869565217,1950,2
"81","Guzmania jaramilloi",1706,1830.06756756757,1950,2
"82","Guzmania squarrosa",2240,2306.5,2360,2
"83","Guzmania wittmackii",1368,1370,1372,1
"84","Heliconia",1366,1408.88888888889,1444,1
"85","Heliconia burleana",1940,1974.58333333333,2030,2
"86","Heliconia griggsiana",1580,1605.54347826087,1660,1
"87","Heliconia impudica",1566,1654.31818181818,1770,3
"88","Heliconia virginalis",1380,1410,1430,1
"89","Hydrangea peruviana",1770,1819.86111111111,1820,2
"90","Inga",1360,1360,1360,1
"91","Justicia",1370,1370,1370,1
"92","Justicia secunda",1370,1372.20512820513,1380,1
"93","Kohleria",1380,1753.125,2140,3
"94","Kohleria affinis",2110,2110,2110,2
"95","Kohleria inaequalis",1732,1756.66666666667,1748,2
"96","Lantana camara",1380,1380,1380,1
"97","Macleania",1542,1637.72727272727,1640,1
"98","Macleania bullata",2128,2223.66666666667,2380,2
"99","Macleania macrantha",2400,2392.5,2444,2
"100","Macleania recumbens",1374,1566.66666666667,1722,3
"101","Macleania stricta",1940,2131.55440414508,2400,2
"102","Macrocarpaea sodiroana",1650,1650,1650,1
"103","Marcgravia",2024,2173.07692307692,2302,2
"104","Meriania",1750,1826.78571428571,1830,2
"105","Meriania tomentosa",2130,2306.33333333333,2440,2
