,Hummingbird,Flower,Observed Piercing Events
1,Stripe-throated Hermit,Glossoloma purpureum,56
2,Stripe-throated Hermit,Columnea ciliata,24
3,Violet-tailed Sylph,Glossoloma oblongicalyx,14
4,Violet-tailed Sylph,Columnea kucyniakii,13
5,Violet-tailed Sylph,Fuchsia macrostigma,13
6,Violet-tailed Sylph,Mezobromelia capituligera,11
7,Violet-tailed Sylph,Centropogon solanifolius,9
8,Violet-tailed Sylph,Kohleria affinis,9
9,Stripe-throated Hermit,Columnea picta,7
10,Stripe-throated Hermit,Columnea mastersonii,5
11,Violet-tailed Sylph,Columnea picta,4
12,Violet-tailed Sylph,Palicourea acetosoides,4
13,Violet-tailed Sylph,Columnea strigosa,3
14,Gorgeted Sunangel,Drymonia tenuis,2
15,Gorgeted Sunangel,Macleania bullata,2
16,Speckled Hummingbird,Glossoloma oblongicalyx,2
17,Stripe-throated Hermit,Heliconia griggsiana,2
18,Stripe-throated Hermit,Salvia quitensis,2
19,Violet-tailed Sylph,Alloplectus tetragonoides,2
20,Violet-tailed Sylph,Columnea ciliata,2
21,Violet-tailed Sylph,Pitcairnia sodiroi,2
22,Violet-tailed Sylph,Psammisia ulbrichiana,2
23,Wedge-billed Hummingbird,Fuchsia macrostigma,2
